zi,data
亮,⿳丶𠮛冗
亮,⿳丶𠮛㓁
亯,⿱亠𠯭
亰,⿱亠𣌢
亰,⿱𣅀小
亱,⿱亠但
亲,⿱立木
亲,⿱立朩
亲,⿻辛人
亲,⿻䇂𠆣
亳,⿳亠口⿱冖乇
亴,⿳亠口⿳冖土九
亴,⿳亠口⿳冖𰀁九
亵,⿳亠执𧘇
亶,⿱㐭旦
亶,⿱㐭且
亷,⿸产⿻〢⿱⺕八
亸,⿰享单
亹,⿱亠舋
人,丿乀
人,丿丶
亻,⿱丿丨
亼,⿱人一
亽,⿱人丶
亾,⿺𠃊人
亾,⿺㇄人
亿,⿰亻乙
什,⿰亻十
仁,⿰亻二
仂,⿰亻力
仃,⿰亻丁
仄,⿸厂人
仅,⿰亻又
仆,⿰亻卜
仇,⿰亻九
仈,⿰亻八
仉,⿰亻几
今,⿱人𪜊
今,⿱亼㇇
今,⿱亼𠃍
今,⿱亽㇇
介,⿱人⿰丿丨
仌,⿱人人
仍,⿰亻乃
从,⿰人人
仏,⿰亻厶
仐,⿱人十
仐,⿻个一
仑,⿱人匕
仒,⿱人⺀
仒,⿱亽丶
仓,⿱人㔾
仔,⿰亻子
仕,⿰亻士
他,⿰亻也
仗,⿰亻丈
付,⿰亻寸
仙,⿰亻山
仚,⿱人山
仛,⿰亻乇
仜,⿰亻工
仝,⿱人工
仝,⿱亼丄
仞,⿰亻刃
仟,⿰亻千
仠,⿰亻干
仡,⿰亻乞
仢,⿰亻勺
代,⿰亻弋
令,⿱亽龴
令,⿱亼龴
令,⿱人𪜁
令,⿱亽卩
令,⿱亼卩
令,⿱亼𰆊
以,⿰⿺𠄌丶人
仦,⿰亻小
仧,⿱上人
仧,⿱⺊𠆣
仨,⿰亻三
仩,⿰亻上
仪,⿰亻义
仫,⿰亻么
们,⿰亻门
仭,⿰亻刃
仮,⿰亻反
仯,⿰亻少
仰,⿰亻卬
仱,⿰亻今
仲,⿰亻中
仳,⿰亻比
仳,⿰化匕
仴,⿰亻月
仵,⿰亻午
件,⿰亻牛
价,⿰亻介
仸,⿰亻夭
仹,⿰亻丰
仺,⿱人𰀄
任,⿰亻壬
仼,⿰亻王
份,⿰亻分
仾,⿰亻互
仿,⿰亻方
伀,⿰亻公
企,⿱人止
伂,⿰亻巿
伂,⿰亻市
伃,⿰亻予
伄,⿰亻弔
伅,⿰亻屯
伆,⿰亻勿
伇,⿰亻殳
伈,⿰亻心
伉,⿰亻亢
伊,⿰亻尹
伋,⿰亻及
伌,⿰亻厄
伍,⿰亻五
伎,⿰亻支
伏,⿰亻犬
伏,⿺㐲丶
伐,⿰亻戈
休,⿰亻木
伒,⿰亻斤
伓,⿰亻不
伔,⿰亻冗
伔,⿰亻㓁
伕,⿰亻夫
伖,⿰亻友
众,⿱人从
优,⿰亻尤
伙,⿰亻火
会,⿱人云
会,⿱亼𠫔
伛,⿰亻区
伜,⿰亻卆
伝,⿰亻云
伞,⿻个䒑
伟,⿰亻韦
传,⿰亻专
伡,⿰亻车
伢,⿰亻牙
伣,⿰亻见
伤,⿰亻𱐩
伥,⿰亻长
伦,⿰亻仑
伧,⿰亻仓
伨,⿰亻匀
伩,⿰亻文
伪,⿰亻为
伫,⿰亻㝉
伬,⿰亻尺
伬,⿸𰁢乀
伭,⿰亻玄
伮,⿰亻奴
伮,⿰㚢又
伯,⿰亻白
估,⿰亻古
伱,⿰亻尒
伲,⿰亻尼
伲,⿸𰁢匕
伳,⿰亻世
伴,⿰亻半
伵,⿰亻四
伶,⿰亻令
伷,⿰亻由
伸,⿰亻申
伹,⿰亻且
伺,⿰亻司
伻,⿰亻平
似,⿰亻以
伽,⿰亻加
伽,⿰仂口
伾,⿰亻丕
伿,⿰亻只
佀,⿰亻㠯
佁,⿰亻台
佂,⿰亻正
佃,⿰亻田
佄,⿰亻甘
佅,⿰亻未
但,⿰亻旦
佇,⿰亻宁
佈,⿰亻布
佉,⿰亻去
佊,⿰亻皮
佋,⿰亻召
佌,⿰亻此
佌,⿰𠇈匕
位,⿰亻立
低,⿰亻氐
住,⿰亻主
佐,⿰亻左
佑,⿰亻右
佒,⿰亻央
体,⿰亻本
佔,⿰亻占
何,⿰亻可
佖,⿰亻必
佗,⿰亻它
佘,⿱人示
佘,⿱亼𡭕
余,⿱亼朩
余,⿱人⿻于人
余,⿱亼木
余,⿻𫢉人
佚,⿰亻失
佛,⿰亻弗
作,⿰亻乍
佝,⿰亻句
佞,⿰亻𡚬
佟,⿰亻冬
你,⿰亻尔
佡,⿰亻仚
佢,⿰亻巨
佣,⿰亻用
佤,⿰亻瓦
佥,⿳亼𭕄一
佦,⿰亻石
佧,⿰亻卡
佨,⿰亻包
佩,⿰亻𫥞
佪,⿰亻回
佫,⿰亻各
佬,⿰亻老
佭,⿰亻夅
佮,⿰亻合
佯,⿰亻羊
佰,⿰亻百
佱,⿱人㱏
佱,⿱亼正
佲,⿰亻名
佲,⿸㐴口
佳,⿰亻圭
佴,⿰亻耳
併,⿰亻并
佶,⿰亻吉
佷,⿰亻艮
佸,⿰亻舌
佹,⿰亻危
佺,⿰亻全
佻,⿰亻兆
佼,⿰亻交
佽,⿰亻次
佽,⿰仁欠
佾,⿰亻䏌
使,⿰亻吏
侀,⿰亻刑
侀,⿰𠆻刂
侁,⿰亻先
侂,⿰亻㡯
侂,⿸𠆲乇
侃,⿰亻⿱口𫶧
侄,⿰亻至
侅,⿰亻亥
來,⿻十⿱从人
侇,⿰亻夷
侈,⿰亻多
侉,⿰亻夸
侊,⿰亻光
例,⿰亻列
侌,⿱今云
侍,⿰亻寺
侎,⿰亻米
侏,⿰亻朱
侐,⿰亻血
侑,⿰亻有
侒,⿰亻安
侓,⿰亻聿
侔,⿰亻牟
侕,⿰亻而
侖,⿱亼𠕁
侗,⿰亻同
侘,⿰亻宅
侙,⿰亻式
侚,⿰亻旬
供,⿰亻共
侜,⿰亻舟
依,⿰亻衣
侞,⿰亻如
侞,⿰㚢口
侟,⿰亻存
侠,⿰亻夹
価,⿰亻覀
侢,⿰亻再
侣,⿰亻吕
侤,⿰亻考
侥,⿰亻尧
侦,⿰亻贞
侧,⿰亻则
侧,⿰𱎡刂
侨,⿰亻乔
侩,⿰亻会
侪,⿰亻齐
侫,⿰亻妄
侬,⿰亻农
侭,⿰亻尽
侮,⿰亻每
侯,⿰亻⿱ユ矢
侰,⿰亻君
侰,⿸伊口
侱,⿰亻呈
侲,⿰亻辰
侳,⿰亻坐
侴,⿱亼⿰丑刂
侵,⿰亻𠬶
侶,⿰亻吕
侷,⿰亻局
侸,⿰亻豆
侹,⿰亻廷
侺,⿰亻岑
侻,⿰亻兑
侼,⿰亻孛
侽,⿰亻男
侾,⿰亻孝
便,⿰亻更
俀,⿰亻妥
俁,⿰亻吴
係,⿰亻系
促,⿰亻足
俄,⿰亻我
俅,⿰亻求
俆,⿰亻余
俇,⿰亻狂
俈,⿰亻告
俉,⿰亻吾
俊,⿰亻夋
俋,⿰亻邑
俌,⿰亻甫
俍,⿰亻良
俎,⿰仌且
俏,⿰亻肖
俐,⿰亻利
俐,⿰𪜰刂
俑,⿰亻甬
俒,⿰亻完
俓,⿰亻巠
俔,⿰亻見
俕,⿰亻宋
俖,⿰亻否
俗,⿰亻谷
俘,⿰亻孚
俙,⿰亻希
俚,⿰亻里
俛,⿰亻免
俜,⿰亻甹
保,⿰亻呆
俞,⿱亼刖
俟,⿰亻矣
俠,⿰亻夾
信,⿰亻言
俢,⿰亻㣊
俣,⿰亻吴
俤,⿰亻弟
俥,⿰亻車
俦,⿰亻寿
俧,⿰亻志
俨,⿰亻严
俩,⿰亻两
俪,⿰亻丽
俫,⿰亻来
俬,⿰亻私
俬,⿰𪜰厶
俭,⿰亻佥
修,⿸攸彡
俯,⿰亻府
俯,⿸𠆲付
俰,⿰亻和
俰,⿰𪜰口
俱,⿰亻具
俲,⿰亻効
俲,⿰佼力
俳,⿰亻非
俴,⿰亻戔
俵,⿰亻表
俶,⿰亻叔
俶,⿰㑐又
俷,⿰亻肥
俷,⿰仴巴
俸,⿰亻奉
俹,⿰亻亞
俺,⿰亻奄
俻,⿰亻备
俼,⿰亻育
俽,⿰亻欣
俽,⿰伒欠
俾,⿰亻卑
俿,⿰亻虎
倀,⿰亻長
倁,⿰亻知
倂,⿰亻幷
倂,⿰亻⿱丷幵
倃,⿰亻咎
倃,⿺佫卜
倃,⿺佫人
倄,⿰亻肴
倅,⿰亻卒
倆,⿰亻兩
倆,⿰亻⿻丅⿵冂从
倇,⿰亻宛
倈,⿰亻來
倉,⿱亽⿸𠁣口
倉,⿱亼⿸𠁣口
倊,⿰亻忩
個,⿰亻固
倌,⿰亻官
倍,⿰亻咅
倎,⿰亻典
倏,⿸攸犬
倐,⿸攸火
們,⿰亻門
倒,⿰亻到
倒,⿰侄刂
倓,⿰亻炎
倔,⿰亻屈
倔,⿸𰁢出
倕,⿰亻垂
倖,⿰亻幸
倗,⿰亻朋
倗,⿰仴月
倘,⿰亻尚
候,⿲亻丨⿱ユ矢
倚,⿰亻奇
倛,⿰亻其
倜,⿰亻周
倝,⿰𠦝人
倝,⿰𠦝大
倝,⿰𠦝𠂉
倞,⿰亻京
借,⿰亻昔
倠,⿰亻隹
倡,⿰亻昌
倢,⿰亻疌
倣,⿰亻放
倣,⿰仿攵
値,⿰亻直
倥,⿰亻空
倦,⿰亻卷
倧,⿰亻宗
倨,⿰亻居
倨,⿸𰁢古
倩,⿰亻青
倪,⿰亻兒
倫,⿰亻侖
倬,⿰亻卓
倭,⿰亻委
倮,⿰亻果
倯,⿰亻松
倯,⿰休公
倰,⿰亻夌
倱,⿰亻昆
倲,⿰亻東
倳,⿰亻事
倴,⿰亻奔
倵,⿰亻武
倶,⿰亻具
倷,⿰亻奈
倸,⿰亻采
倹,⿰亻㑒
债,⿰亻责
倻,⿰亻耶
倻,⿰佴阝
值,⿰亻直
倽,⿰亻舍
倾,⿰亻顷
倾,⿰化页
倿,⿰亻妾
偀,⿰亻英
偁,⿰亻爯
偂,⿰亻前
偃,⿰亻匽
偄,⿰亻耎
偅,⿰亻重
偆,⿰亻春
