zi,data
𠥚,⿷匚彀
𠥛,⿷匚⿱⿻
𠥛,丫コ⿻㕦𠃊
𠥛,⿷匚⿳⿻
𠥛,丫ユ口⿻𠆣𠃊
𠥜,⿷匚歇
𠥝,⿷匚⿰品殳
𠥞,⿷匚⿰⿱⺊目全
𠥟,⿷匚⿰古金
𠥠,⿷匚載
𠥡,⿷匚⿻丨㗊
𠥢,⿷匚舞
𠥣,⿷匚臱
𠥤,⿷匚⿰若酉
𠥥,⿷匚雔
𠥦,⿷匚翼
𠥧,⿷𠥓否
𠥨,⿷匚蟲
𠥩,⿷𠥓其
𠥪,⿷𠥓舀
𠥫,⿷𠥓臱
𠥬,⿷𠥓舊
𠥭,⿷匚刀
𠥮,⿷匚内
𠥮,⿷匸内
𠥯,⿷匚氏
𠥯,⿷匸氏
𠥰,⿷匚卯
𠥰,⿷匸卯
𠥱,⿷匚出
𠥱,⿷匸出
𠥲,⿷匸⿻⿰丿丨口
𠥳,⿷匸光
𠥴,⿷匚汵
𠥴,⿷匸汵
𠥵,⿷匸言
𠥶,⿷匚虎
𠥶,⿷匸虎
𠥷,⿰區凡
𠥸,⿱卧㔸
𠥹,⿰區烏
𠥺,⿰區區
𠥻,艹一
𠥼,⿶十十
𠥽,⿻朩一
𠥾,⿱久十
𠥿,⿰㔾十
𠦀,⿱上十
𠦀,⿱⺊干
𠦁,⿶十𡰣
𠦂,⿻氺一
𠦂,⿻丿⿱⿰冫𡿨一
𠦃,⿻十艹
𠦄,⿱十廾
𠦄,⿱十艹
𠦅,⿰千千
𠦆,⿻丨旦
𠦆,⿻申一
𠦇,⿰𬺷十
𠦈,⿱井十
𠦉,⿰十斤
𠦊,⿰云十
𠦋,⿱上千
𠦌,⿰艹艹
𠦌,⿰廾艹
𠦍,⿱人仐
𠦍,⿱仌十
𠦎,⿱八𰅭
𠦎,⿱𠔁十
𠦏,⿻丨丛
𠦐,⿻十𠘬
𠦐,⿻丨𠘲
𠦑,⿸⿵⿶
𠦑,廾丶⿰丶丶丶
𠦒,丨⿱𠀎一
𠦓,⿱灭十
𠦔,十⿻
𠦔,凵二
𠦕,⿱⿰工几十
𠦖,⿱𭕄⿸厂十
𠦗,⿰十㠯
𠦘,⿱巩十
𠦙,⿳十⺕个
𠦚,⿻千⿱𠠴一
𠦛,⿱斤艹
𠦜,⿰廿廿
𠦝,⿱十早
𠦞,⿱北千
𠦟,⿱⿻十日凵
𠦠,⿰十𬐃
𠦡,⿱十芉
𠦡,⿱𠦄干
𠦢,⿰十刕
𠦣,⿰𦙃十
𠦤,⿱𫩏⿻甲一
𠦥,⿱⿰冫𠂤十
𠦦,⿱矾十
𠦧,⿰幸十
𠦨,⿱⿰⿱𠂊屮⿹勹丿十
𠦩,⿱十枚
𠦪,⿱𠦄夲
𠦫,⿰咠十
𠦬,⿻𠂹一
𠦭,⿱𣳨十
𠦮,⿺𠦮一
𠦯,⿰半艮
𠦰,⿰十𫆁
𠦱,⿰⿻十日吏
𠦲,⿰卓升
𠦳,⿰彦千
𠦴,⿻十⿱⿰世世一
𠦵,⿱⿻大吅仐
𠦵,⿱⿻十吅𠦍
𠦶,⿱廿⿻𦥔一
𠦷,⿰卓弁
𠦸,⿳亠⿲冫⿱二口𡿨十
𠦹,⿱十逐
𠦺,⿰𭁈半
𠦻,⿰半夌
𠦼,⿱⿰幺隹十
𠦽,⿰十惠
𠦾,⿰十歮
𠦿,⿱称升
𠧀,⿱獁十
𠧁,⿰十當
𠧂,⿰十敬
𠧃,⿰甫卑
𠧄,⿰卓旱
𠧅,⿰咼卑
𠧆,⿰𱏴卒
𠧇,⿰卓舁
𠧈,⿱古單
𠧉,⿳十品卑
𠧉,⿳古吅卑
𠧉,⿳古㽞丩
𠧊,⿰⿳丿吕十昜
𠧋,⿱十𭂺
𠧋,⿵𭅠熏
𠧌,⿰升爾
𠧍,⿰需升
𠧎,⿳爫⿲幺吕幺十
𠧏,⿳爫⿲吕幺吕十
𠧐,⿱讎十
𠧑,⿳⿴𦥑古八⿱人隼
𠧒,⿱⺊乙
𠧓,⿰卜刃
𠧔,⿱上夂
𠧕,⿱上尸
𠧕,⿱⺊户
𠧖,⿱⺊贝
𠧗,⿱上下
𠧘,⿱⺊⿸
𠧘,乛丿
𠧙,⿰召卜
𠧚,⿱⺊囚
𠧛,⿱上尺
𠧛,⿸𠧕乀
𠧜,⿱⺊⿵冂女
𠧝,⿱⺊⿹⺄六
𠧞,⿰兆卜
𠧟,⿺𠃊卤
𠧠,⿺𠃊卣
𠧡,⿺𠃊⿱⺊目
𠧢,⿱⺊㫐
𠧣,⿱⺊⿸厂斤
𠧤,⿺㇉卤
𠧥,⿰⿱二卜⿱二卜
𠧦,⿱䒑⿰幺卜
𠧧,⿱⺊⿴囗夂
𠧨,⿰各卜
𠧩,⿰每卜
𠧪,⿱⺊⿴囗仌
𠧫,⿳⺊日夂
𠧫,⿳⺊日夊
𠧬,⿰君卜
𠧭,⿰大朴
𠧮,⿺尾卜
𠧯,⿱⺊㒷
𠧰,⿵𣦵𠮛
𠧱,⿺𠃊卥
𠧲,⿱⺊⿵冂𢆉
𠧳,⿱占⿲𰀪丨𰀪
𠧴,⿺𠃊𠧪
𠧵,⿱𠧚大
𠧶,⿳⺊㓁水
𠧷,⿺㇉𠧪
𠧸,⿱⺊㘠
𠧹,⿱占⿰𰀪𰀠
𠧺,⿳⺊⿴囗𰀁夂
𠧺,⿳⺊⿴囗𰀁夊
𠧻,⿳⺊日⿲𰀪丨𰀪
𠧼,⿱⺊⿵𠕀𤓰
𠧽,⿱⺊⿵几𬉹
𠧾,⿱卥夂
𠧿,⿱⺊⿵𦉪失
𠨀,⿱⿶凵⿱⺊目巛
𠨁,⿳⺊𠔿⿵冂𧘇
𠨂,⿰⿱⺊勿⿱⺊勿
𠨃,⿰男外
𠨄,⿱卤冋
𠨅,⿺𠃊⿳⺊日⿴囗⿻⿰丿丿丶
𠨅,⿺𠃊⿳⺊日⿴囗夂
𠨆,⿳⺊⿵𦉪工丙
𠨇,⿳⺊⿵冂叒木
𠨈,⿳⺊𦉪昺
𠨉,⿱⿺⿻人𠈌卜夊
𠨊,⿰冓外
𠨋,⿱𠧪⿰𠧪𠧪
𠨌,⿳⺊⿵冂条⿰票票
𠨍,⿰𠂈卩
𠨎,⿰㔾㔾
𠨏,⿰又卩
𠨐,⿰匕卩
𠨑,⿰亡卩
𠨒,⿰比卩
𠨒,⿰匕𠨐
𠨓,⿰𢎟𢎟
𠨔,⿰㔿𫜹
𠨔,⿰⿹丅丄𫜹
𠨕,⿱㔾𠨎
𠨖,⿰卪卪
𠨗,⿸𠂋𭅲
𠨘,⿰必卩
𠨙,⿰𪜊却
𠨙,⿰⿱一㇇却
𠨚,⿰希卩
𠨛,⿰忘卩
𠨜,⿰危兀
𠨝,⿰⿱𬼖心卩
𠨝,⿰⿱𠀉心卩
𠨞,⿰𠂈即
𠨟,⿳釆大㔾
𠨟,⿳丿类㔾
𠨠,⿱即久
𠨡,⿱壯卯
𠨢,⿰危夋
𠨣,⿱卯亞
𠨣,⿱⿰夕口亞
𠨤,⿱𡷈仓
𠨥,⿰𠂎聊
𠨦,⿰⿱頁几却
𠨧,⿱𦦉㔾
𠨧,⿱𦦉巳
𠨨,⿳⿴𦥑⿱丿同一⿱八㔾
𠨩,⿳⿴𦥑同大㔾
𠨪,⿰危堯
𠨫,⿱䜌卵
𠨬,⿸厂匕
𠨭,⿸厂𰀁
𠨮,⿸厂夨
𠨯,⿸厂子
𠨰,⿸厂⿻乚コ
𠨱,⿸厂也
𠨲,⿱屮厂
𠨳,⿸厂卪
𠨴,⿸厂介
𠨵,⿸厂丰
𠨶,⿸厂夫
𠨷,⿸厂⿰⿱丅𠃊⺄
𠨸,⿸厂𧘇
𠨹,⿸厂反
𠨺,⿸厂午
𠨻,⿸厂殳
𠨼,⿸厂韦
𠨽,⿸厂比
𠨾,⿸厂手
𠨿,⿸厂氏
𠩀,⿸厂⿻屮凵
𠩁,⿸厂冬
𠩂,⿸厂去
𠩂,⿸圧厶
𠩃,⿱出厂
𠩄,⿸厂⿰𬼀亇
𠩅,⿸厂瓦
𠩆,⿸厂此
𠩇,⿸厂𢒂
𠩈,⿸厂主
𠩉,⿸厂出
𠩊,⿸厂旨
𠩊,⿸𠨬日
𠩋,⿸厂屰
𠩌,⿸厂⿴囗⿱丿乂
𠩍,⿸厂⿰丨⿱土又
𠩎,⿸厏一
𠩏,⿸厂尗
𠩐,⿸厂⿸匚⿱二𡿨
𠩑,⿸厂⿸尹𠤎
𠩒,⿸厂⿱日又
𠩓,⿸厂兆
𠩔,⿸灰七
𠩔,⿸灰𠤎
𠩕,⿸厂米
𠩖,⿱丷⿸厂肀
𠩗,⿸厂㳄
𠩘,⿸厂夾
𠩙,⿸厂我
𠩚,⿸厂酉
𠩛,⿸厂⿴囗仌
𠩜,⿸厂坐
𠩝,⿸厂坊
𠩞,⿸厂⿸户子
𠩟,⿸厂⿻土从
𠩠,⿸厂貝
𠩡,⿸厂伯
𠩢,⿸厂廷
𠩣,⿰仄兄
𠩤,⿸厂𣌢
𠩥,⿸厂呈
𠩦,⿸厂忺
𠩧,⿸㕂止
𠩨,⿸厂孥
𠩩,⿸厂𣅳
𠩪,⿸厂刺
𠩫,⿸厂兒
𠩬,⿸厂來
𠩭,⿸厂享
𠩮,⿸厂⿸𠂇自
𠩯,⿸厂⿳厶丿甲
𠩰,⿸厂⿱吕十
𠩱,⿸厂杴
𠩲,⿸厂卑
𠩳,⿸厂⿱⺊⿸
𠩳,乛丿
𠩳,⿱一巳
𠩴,⿸厂⿱白夊
𠩵,⿸厂林
𠩶,⿸厂卑
𠩷,⿸厂典
𠩸,⿸厂食
𠩸,⿸仄良
𠩹,⿸厂叜
𠩺,⿱⿰未攵厂
𠩻,⿸厂段
𠩼,⿸厂⿰未欠
𠩽,⿸𠨬⿱米一
𠩾,⿸厂秋
𠩿,⿸厂畢
𠪀,⿸厂𣆉
𠪁,⿸厂𮂸
𠪂,⿸厂扁
𠪃,⿸厂眉
𠪄,⿸厂苗
𠪅,⿸厂叚
𠪆,⿸厂封
𠪇,⿸厂叟
𠪈,⿸㕉止
𠪈,⿸仄𣥔
𠪉,⿸厂差
𠪊,⿸厂兼
𠪋,⿸厂𣆪
𠪌,⿸厂⿱𰁜火
𠪌,⿸厂𭴢
𠪍,⿸厂⿰彼㔾
𠪎,⿸厂𡘤
𠪏,⿸厂⿰丰艮
𠪏,⿸厂⿰丯艮
𠪐,⿸厂留
𠪑,⿸厂埶
𠪒,⿸厂⿱口金
𠪓,⿸厂䋈
𠪔,⿸厂𠭖
𠪕,⿱一⿻〢⿱丷⿸厂⿱コ八
𠪕,⿱一⿻〢⿱丷⿸厂⿱ユ八
𠪖,⿸厂埜
𠪖,⿸𠩵土
𠪗,⿸厂䚿
𠪘,⿸厂𣪏
𠪙,⿸厂異
𠪚,⿸厂敢
𠪛,⿸厂⿱炗火
𠪜,⿸厂菳
𠪝,⿸厂奠
𠪞,⿸厂㫺
𠪟,⿸厂⿱艮缶
𠪠,⿸𠩵月
𠪡,⿸厂屠
𠪢,⿸厂欽
𠪣,⿸厂散
𠪤,⿸厂⿱共圭
𠪥,⿸原水
𠪦,⿸㕉缶
𠪧,⿰⿸厂巴果
𠪨,⿸厂𱗐
𠪨,⿸厂⿱⿻
𠪨,丄⿱⿴囗丷一𡉀
𠪨,⿸厘𡉀
𠪩,⿸厂黑
𠪪,⿸厂𡍮
𠪫,⿸厂⿰直攵
𠪬,⿸厂⿰⿱乛耳攴
𠪭,⿸厂敖
𠪮,⿸厂辟
𠪯,⿸厂睪
𠪰,⿸厡心
𠪱,⿸厤⿰⿺乚丶丶
𠪲,⿸厂勤
𠪳,⿸厂⿱⿻
𠪳,〢口⿻
𠪴,⿸厂楚
𠪴,⿸𠩵疋
𠪵,⿸厂⿱龷重
𠪶,⿸厂⿱死豆
𠪷,⿸厂暈
𠪸,⿸厂葉
𠪹,⿸厂⿱⿻
𠪹,艹口𤬦
𠪹,⿸厂⿱⿻艹口𤬦
𠪺,⿸厤分
𠪻,⿰𠂬尃
𠪼,⿸厂𮎙
𠪽,⿸厂⿰⿱立㠯尤
𠪾,⿸厤心
𠪿,⿸厂𧍣
𠪿,⿸𠪄虫
𠫀,⿸厂壁
𠫀,⿸𠪮土
𠫁,⿸厂⿱琹日
𠫂,⿸厂盧
𠫃,⿸厂⿰幸罙
𠫄,⿸厂⿰⿱⿻羊丷口令
𠫅,⿰苔厚
𠫅,⿰苔⿸𠂆㫗
𠫆,⿰厚苔
𠫇,⿸厂𦗟
𠫈,⿸厂⿰糸㲜
𠫉,⿸厂顛
𠫊,⿸厂聼
𠫋,⿸厂蘇
𠫌,⿰歷芟
𠫍,⿸厂贔
𠫍,⿸𠩠賏
𠫎,⿸厂⿱⿰䀠犬金
𠫏,⿰歷卒
𠫐,⿸厂灥
𠫑,⿸厂驫
𠫑,⿸𫨑騳
𠫒,⿱厡⿰厡厡
𠫓,⿻厶一
𠫓,⿱亠厶
𠫓,⿱丶𠫔
𠫔,⿱一厶
𠫕,⿺乙厶
𠫖,⿰厶乚
𠫗,⿵几厶
𠫗,⿻厶几
𠫘,⿱厶十
𠫙,⿺𠃊⿱厶人
𠫚,⿱厶𰀁
𠫚,⿻𠫘一
𠫛,⿱厶𠫔
𠫜,⿱厶⿹⺄力
𠫝,⿱厶𫶧
𠫞,⿱厸几
𠫟,⿳𠂉丄厶
𠫟,⿳𠂉丨𠫔
𠫠,⿱厶𠘬
𠫡,⿱厶木
𠫡,⿻𠫘人
𠫢,⿱丰厶
𠫣,⿱厶内
𠫤,⿱乂厷
𠫥,⿳八人厶
𠫦,⿳厶冖巾
𠫧,⿱厶丙
𠫨,⿱厸凡
𠫨,⿵𠫞丶
𠫩,⿱厶⿻中人
𠫪,⿱厶⿻人⿱口一
𠫫,⿱厽丂
𠫬,⿰㕕㕕
𠫭,⿱厶夵
𠫮,⿱厶⿰日几
𠫯,⿱厽人
𠫰,⿱厽三
𠫰,⿱亝一
𠫱,⿱厶⿲⿱厶丿丨⿱厶乚
𠫲,⿰𠫤卂
𠫳,⿰去及
𠫴,⿰去少
𠫵,⿳厶大㣺
𠫶,⿱厶里
𠫷,⿰𠫤丸
𠫸,⿱厶⿲⿱厶丨丨⿱厶丨
𠫹,⿱厸⿻甲一
𠫺,⿱厶⿻串一
𠫻,⿳厶大凷
𠫼,⿱厽⿲丿二丨
𠫽,⿺叁三
𠫾,⿰去多
𠫿,⿳厶大更
𠫿,⿳厶𡗓臾
𠬀,⿱𤱊𠫔
𠬁,⿱厽圶
𠬂,⿳厸冖舛
𠬃,⿰去甫
𠬄,⿳厽夂三
𠬅,⿻叄一
𠬆,⿰⿱厶厼糸
𠬇,⿱去京
𠬈,⿰去卑
𠬉,⿰去争
𠬊,⿰⿱厶⿲丶丶丶参
𠬋,⿱厸星
𠬌,⿰并夋
𠬍,⿰夋免
𠬎,⿱厽妻
𠬏,⿰牟罔
𠬐,⿵𠫼⺝
𠬐,⿵𠫼⺼
𠬑,⿲去去去
𠬒,⿰去骨
𠬓,⿰參兄
𠬔,⿱厽鼎
𠬕,⿰去補
𠬖,⿱去補
𠬗,⿰厷義
𠬘,⿵𠫼韭
𠬙,⿰參兩
𠬚,⿱九又
𠬛,⿱刀又
𠬛,⿱勹又
𠬜,⿰又⿻乚𠃊
𠬝,⿸卩又
𠬝,⿸⺆又
𠬞,⿰丩又
𠬞,⿰𠂈又
𠬟,⿱又厶
𠬠,⿱丷又
𠬡,⿸厂⿱一又
𠬢,⿱屮又
𠬣,⿹⿺㇉一又
𠬤,⿱又𰀁
𠬥,⿱巾又
𠬦,⿱丿𠕀
𠬦,⿵𰃦又
𠬧,⿰丬又
𠬨,⿰卪又
𠬩,⿸𠃜又
𠬩,⿴㞋丨
𠬪,⿱爫又
𠬫,⿰乜⿱コ又
𠬬,⿱八及
𠬭,⿱又尤
𠬮,⿰𠃜又
𠬯,⿱又𢆯
𠬰,⿱分又
𠬰,⿱八𠬛
𠬱,⿰另又
𠬲,⿱𡗜又
𠬳,⿲𠂈幺又
𠬴,⿱⿻又丷三
𠬵,⿰⿹⿻⺌一丿又
𠬶,⿳⺕冖又
𠬶,⿳𫜹冖又
𠬷,⿸⿻丆ユ又
𠬷,⿱五夂
𠬸,⿱回又
𠬹,⿱又糸
𠬺,⿱双廾
𠬻,⿻丰𠬞
𠬼,⿻𰀁⿰千又
𠬽,⿱又耒
𠬽,⿻𠬤𠆣
𠬾,⿱又𢆶
𠬿,⿱丘𠬞
𠭀,⿱叒口
𠭀,⿱又𰇍
𠭁,⿱貝又
𠭂,⿱又孝
𠭃,⿰𦣞又
𠭄,⿱束又
𠭅,⿺友正
𠭆,⿱㞢𪠲
𠭇,⿰亩又
𠭈,⿳司冖又
𠭉,⿰⿱⺊用又
𠭊,⿰⿸𠂆三⿱𫜹又
𠭋,⿰叕㔾
𠭌,⿱叒⿻儿二
𠭍,⿱雨又
𠭎,⿱双吅
𠭏,⿱山叓
𠭏,⿱㞢㕜
𠭐,⿺⿱士又𠂛
𠭑,⿰又奇
𠭒,⿱昌又
𠭓,⿰⿳止⺌一又
𠭔,⿰𠂤反
𠭕,⿰⿻丅丛⿱𠂉又
𠭖,⿰⿱爫古又
𠭗,⿰⿱⺊⿸
𠭗,乛丿
𠭗,⿱一井又
𠭘,⿱𣦼井
𠭙,⿸𢑚又
𠭚,⿱叒⿰口㔾
𠭛,⿱囱𠬞
𠭜,⿰𢑚又
𠭝,⿰⿱𠃊丆⿸尸反
𠭞,⿱叒叩
𠭟,⿳𱼀冖⿱幺又
𠭠,⿳⺈𦉪㞋
𠭡,⿳丿⿻人从𠬞
𠭢,⿱⿰⿱匕夕又井
𠭣,⿰彖又
𠭤,⿰吕反
𠭥,⿰祟又
𠭦,⿱八叟
𠭦,⿱𫤮又
𠭧,⿱爫⿸厂⿲⿱丶⺀丿又
𠭨,⿱叒共
𠭩,⿳𠫓日⿱冖又
𠭪,⿱䎳又
𠭫,⿰又⿱⿰夕又示
𠭬,⿰又烏
𠭭,⿱⿴𦥑与又
𠭮,⿱⿰⿱上夕又井
𠭯,⿰虘又
𠭰,⿸𠩺又
𠭱,⿰⿱覀𡉀又
𠭲,⿰昜⿱人又
𠭳,⿱䒑⿲⿱屮𰀪丨⿱又二
𠭴,⿰叕出
𠭵,⿱𠃬叹
𠭶,⿱丷⿸厂⿳⿻
𠭶,〢コ乛友
𠭷,⿱赦又
𠭸,⿰𰶵又
𠭹,⿰貞㕛
𠭺,⿰㕛毖
𠭻,⿱䒑⿻⿲屮丨又⺝
𠭻,⿳䒑⿲屮丨又用
𠭼,⿳北㓁㞋
𠭽,⿰⿱又水⿱夂⿵冂巾
𠭾,⿰⿳又𠂊巾⿳又𠂊巾
𠭿,⿰⿳一勿⿰日巾又
𠮀,⿱双⿰又⿵冂各
𠮁,⿰⿱乂⿺朩丶⿱
𠮁,丨㇅丨𠃍
𠮁,⿰杀⿱
𠮁,丨㇅丨𠃍
𠮂,⿰⿱共内友
𠮃,⿱辟又
𠮄,⿰叕兑
𠮅,⿱紅𦫿
𠮆,⿱双敗
𠮇,⿰⿱又𢁙⿱又𢁙
𠮈,⿰⿱丶⿸
𠮈,乛丿
𠮈,⿳七八𥃦又
𠮉,⿰睿又
𠮉,⿰⿱⺊⿸厂⿳一八𥃦又
𠮊,⿰㝵取
𠮋,⿰𣥚取
𠮌,⿰叕臽
𠮍,⿰⿻𡵃冂叜
𠮎,⿱⿻巫吅𠬞
𠮏,⿰𧇖又
𠮐,⿰叕舀
𠮑,⿱鞠又
𠮒,⿰章叕
𠮓,⿱䜌又
𠮔,⿰又麗
𠮕,⿳頁䖵又
𠮖,⿱䜌𠬜
𠮗,⿳爫⿰糸絲又
𠮘,⿰⿳厶山⿵冂不⿳𠮳旧又
𠮙,⿰口乙
𠮚,⿴囗丶
𠮛,⿱一口
𠮜,⿰口乚
𠮝,⿰口丨
𠮞,⿺乙口
𠮟,⿰口七
𠮠,⿱口勹
𠮡,⿱口二
𠮢,⿱又口
𠮣,⿱乂口
𠮤,⿰口𢎘
𠮥,⿱⺈口
𠮦,⿱丷口
𠮧,⿰口刂
𠮧,⿰𠮝亅
𠮨,⿰口乃
𠮩,⿰口了
𠮪,⿰口𠃏
𠮫,⿱丸口
𠮬,⿰口丸
𠮭,⿰口勺
𠮮,⿱丿右
𠮮,⿸千口
𠮯,⿱己口
𠮰,⿱口巛
𠮱,⿰口亏
𠮲,⿱口亏
𠮲,⿱口亐
𠮲,⿱𠮡㇉
𠮲,⿻号一
𠮳,⿱上口
𠮳,⿱⺊𠮛
𠮴,⿱下口
𠮵,⿰口上
𠮶,⿰口个
𠮷,⿱土口
𠮷,⿱十𠮛
𠮸,⿹⺄⿱亠口
𠮹,⿰口才
𠮺,⿰口𰀠
𠮺,⿰𠮝𡿨
𠮻,⿰口久
𠮼,⿰口⿻𬺰乀
𠮽,⿱口廾
𠮾,⿰口兀
𠮿,⿰口山
𠯀,⿰口川
𠯁,⿱口龰
𠯂,⿱口子
𠯃,⿱𠙼亅
𠯄,⿰口刃
𠯅,⿰口弋
𠯆,⿰口女
𠯇,⿰口己
𠯇,⿰口已
𠯈,⿰口大
𠯉,⿱召一
𠯊,⿱口于
𠯋,⿰口兮
𠯌,⿱乂右
𠯍,⿰口冄
𠯎,⿰口丮
𠯏,⿰口气
𠯐,⿰口日
𠯑,⿱氏口
𠯒,⿱化口
𠯓,⿱斤口
𠯔,⿰口匹
𠯕,⿱口匹
𠯖,⿰口户
𠯗,⿰口帀
𠯘,⿰口反
𠯙,⿰口尐
𠯚,⿱口𥘅
𠯛,⿱𠂇古
𠯜,⿰口勾
𠯝,⿰口𢆰
𠯞,⿰口互
𠯟,⿰口见
𠯠,⿰口为
𠯡,⿰口⿱上乙
𠯢,⿰口卅
𠯣,⿱口之
𠯤,⿰口井
𠯥,⿰口卆
𠯦,⿰口切
𠯦,⿰𠮟刀
𠯧,⿱口⿻
𠯧,丨⿻冂一
𠯨,⿱八召
𠯨,⿱分口
𠯩,⿰口扎
𠯪,⿰口歹
𠯫,⿰口戈
𠯬,⿰口龰
𠯬,⿺㕥⺊
𠯭,⿱口日
𠯮,⿱口𫩏
𠯯,⿰口片
𠯰,⿰口什
𠯱,⿰口⿱入入
𠯲,⿰口月
𠯳,⿱勿口
𠯴,⿰口卞
𠯵,⿳口ユ八
𠯶,⿹𠃚口
𠯶,⿹㢧口
𠯶,⿹弓𠮛
𠯷,⿰口⿵乃厶
𠯸,⿰口厅
𠯹,⿰口仍
𠯺,⿱⿰冫匕口
𠯻,⿰口幻
𠯻,⿰吆𠃌
𠯼,⿰口仃
𠯽,⿰口止
𠯾,⿰口仇
𠯿,⿰口六
𠰀,⿰口⿻丨弓
𠰁,⿰口丐
𠰂,⿰口元
𠰃,⿰口壬
𠰄,⿰口予
𠰅,⿱口手
𠰆,⿰口⿱𰀄乙
𠰇,⿱口⿷⿻㇉冖一
𠰈,⿰口弘
𠰈,⿰𭇂厶
𠰉,⿰口召
𠰊,⿰口疋
𠰋,⿰口丘
𠰌,⿰口末
𠰍,⿰口主
𠰎,⿱口㞋
𠰏,⿰口乏
𠰐,⿰口叵
𠰑,⿰口厈
𠰒,⿰口尒
𠰓,⿱口禾
𠰔,⿱母口
𠰕,⿱出口
𠰖,⿰口𦫼
𠰗,⿰口𠂞
𠰘,⿰口皿
𠰙,⿰口刊
𠰙,⿰口刋
𠰙,⿰𭆺刂
𠰙,⿰吀刂
𠰚,⿰口尔
𠰛,⿱山古
𠰛,⿱𫵱口
𠰜,⿰口⿻亅⿱丿䒑
𠰝,⿱罒口
𠰝,⿱四口
𠰞,⿱𠂉吕
𠰟,⿴⿷𫸧一一
𠰠,⿰口巨
𠰡,⿳口宀⿺㇉一
𠰢,⿰口半
𠰣,⿱必口
𠰤,⿰⿱口方亅
𠰥,⿱䒑右
𠰥,⿸𢆉口
𠰦,⿰永口
𠰧,⿰口玉
𠰨,⿱口⿸厂⿰丿𠤎
𠰩,⿰口用
𠰪,⿰口正
𠰫,⿱𡗗口
𠰬,⿱口由
𠰭,⿰口卯
𠰮,⿰口生
𠰯,⿰口匆
𠰰,⿱代口
𠰱,⿰口节
𠰲,⿰口术
𠰲,⿰口朮
𠰲,⿺㕲丶
𠰳,⿰口丙
𠰴,⿰口石
𠰵,⿰口𡗜
𠰶,⿱一君
𠰷,⿰口卢
𠰸,⿰口囙
𠰹,⿰口㐌
𠰺,⿰口代
𠰻,⿰口外
𠰼,⿰口巿
𠰽,⿰口宂
𠰾,⿰口凥
𠰾,⿸㕧几
𠰿,⿰口氶
𠱀,⿰口皮
𠱁,⿰口氹
𠱁,⿺𠮙水
𠱂,⿰口凸
𠱃,⿰口凹
𠱄,⿱口皿
𠱅,⿰口圣
𠱆,⿰口孕
𠱇,⿰口穴
𠱈,⿰口矢
𠱉,⿰口㐱
𠱊,⿰口仕
𠱋,⿰口由
𠱌,⿰口弍
𠱍,⿰口犯
𠱎,⿰口⿱勿一
𠱏,⿰口𭺜
𠱐,⿰口吴
𠱑,⿱口夻
𠱑,⿱㕦口
𠱒,⿱朱口
𠱓,⿰口危
𠱔,⿰口守
𠱕,⿰口兊
𠱖,⿰口囟
𠱗,⿳亠口冄
𠱗,⿳丶𠮛冄
𠱘,⿰口屰
𠱙,⿰口尗
𠱚,⿰口𠧗
𠱛,⿱刀冏
𠱜,⿰口存
𠱝,⿰口䏍
𠱞,⿰口杂
𠱟,⿰口⿱匕木
𠱟,⿰口⿱𠤎木
𠱠,⿰口吅
𠱠,⿰吅口
𠱡,⿰口𠕋
𠱢,⿰口汗
𠱣,⿰口⿹弓土
𠱤,⿰口耒
𠱥,⿰口卉
𠱦,⿱乑口
𠱧,⿱𠇊口
𠱨,⿰口𠃨
𠱩,⿵⿻兀冂𠮛
𠱪,⿰口⿱丶平
𠱫,⿳亠丷𫩑
𠱫,⿳立丿口
𠱬,⿵用𠮛
𠱬,⿵⺆⿱丰口
𠱭,⿱艸口
𠱮,⿱口䏍
𠱯,⿱吅工
𠱰,⿵几⿱丰口
𠱱,⿰口⿱匆一
𠱲,⿰口𢑑
𠱳,⿰口弜
𠱳,⿰𭇂弓
𠱴,⿰口全
𠱵,⿱𠮚央
𠱶,⿰口宇
𠱷,⿰口名
𠱸,⿰口臣
𠱹,⿰口托
𠱺,⿰口丞
𠱻,⿰口再
𠱼,⿰口考
𠱽,⿰口在
𠱾,⿰口寺
𠱿,⿰口劦
𠲀,⿱吏口
𠲁,⿱口⿺⿻㇂⿱口丿丶
𠲂,⿰口㕦
𠲃,⿰口印
𠲄,⿰口邜
𠲅,⿰口色
𠲆,⿰𥝍口
𠲇,⿰口⿱人不
𠲈,⿰口氽
𠲉,⿱口任
𠲊,⿰口𡕟
𠲋,⿰口朿
𠲌,⿰口戍
𠲍,⿰口丢
𠲎,⿰口伐
𠲏,⿰口任
𠲐,⿰口⿸𠂆氏
𠲑,⿰半⿱口𠄎
𠲒,⿱𠇍口
𠲓,⿰口夅
𠲔,⿰口亦
𠲕,⿰口庄
𠲕,⿸𫩕土
𠲖,⿰口衣
𠲗,⿰口䇂
𠲘,⿱羊口
𠲙,⿸㕧⿹九丶
𠲚,⿰口孖
𠲚,⿰吇子
𠲛,⿰口回
𠲜,⿰口争
𠲝,⿰口对
𠲝,⿰呅寸
𠲞,⿰口扛
𠲟,⿰口件
𠲠,⿰口收
𠲠,⿰叫攵
𠲡,⿰口好
𠲡,⿰𠯆子
𠲢,⿰口吊
𠲣,⿰口血
𠲤,⿰口汝
𠲥,⿰口礼
𠲥,⿰呩乚
𠲦,⿰口戎
𠲧,⿰口式
𠲨,⿰口池
