zi,chaizi
𠩚,⿸厂酉
𠩛,⿸厂⿴囗仌
𠩜,⿸厂坐
𠩝,⿸厂坊
𠩞,⿸厂⿸户子
𠩟,⿸厂⿻土从
𠩠,⿸厂貝
𠩡,⿸厂伯
𠩢,⿸厂廷
𠩣,⿰仄兄
𠩤,⿸厂𣌢
𠩥,⿸厂呈
𠩦,⿸厂忺
𠩧,⿸㕂止
𠩨,⿸厂孥
𠩩,⿸厂𣅳
𠩪,⿸厂刺
𠩫,⿸厂兒
𠩬,⿸厂來
𠩭,⿸厂享
𠩮,⿸厂⿸𠂇自
𠩯,⿸厂⿳厶丿甲
𠩰,⿸厂⿱吕十
𠩱,⿸厂杴
𠩲,⿸厂卑
𠩳,⿸厂⿱⺊⿸
𠩴,⿸厂⿱白夊
𠩵,⿸厂林
𠩶,⿸厂卑
𠩷,⿸厂典
𠩸,⿸厂食
𠩹,⿸厂叜
𠩺,⿱⿰未攵厂
𠩻,⿸厂段
𠩼,⿸厂⿰未欠
𠩽,⿸𠨬⿱米一
𠩾,⿸厂秋
𠩿,⿸厂畢
𠪀,⿸厂𣆉
𠪁,⿸厂𮂸
𠪂,⿸厂扁
𠪃,⿸厂眉
𠪄,⿸厂苗
𠪅,⿸厂叚
𠪆,⿸厂封
𠪇,⿸厂叟
𠪈,⿸㕉止
𠪉,⿸厂差
𠪊,⿸厂兼
𠪋,⿸厂𣆪
𠪌,⿸厂⿱𰁜火
𠪍,⿸厂⿰彼㔾
𠪎,⿸厂𡘤
𠪏,⿸厂⿰丰艮
𠪐,⿸厂留
𠪑,⿸厂埶
𠪒,⿸厂⿱口金
𠪓,⿸厂䋈
𠪔,⿸厂𠭖
𠪕,⿱一⿻〢⿱丷⿸厂⿱コ八
𠪖,⿸厂埜
𠪗,⿸厂䚿
𠪘,⿸厂𣪏
𠪙,⿸厂異
𠪚,⿸厂敢
𠪛,⿸厂⿱炗火
𠪜,⿸厂菳
𠪝,⿸厂奠
𠪞,⿸厂㫺
𠪟,⿸厂⿱艮缶
𠪠,⿸𠩵月
𠪡,⿸厂屠
𠪢,⿸厂欽
𠪣,⿸厂散
𠪤,⿸厂⿱共圭
𠪥,⿸原水
𠪦,⿸㕉缶
𠪧,⿰⿸厂巴果
𠪨,⿸厂𱗐
𠪩,⿸厂黑
𠪪,⿸厂𡍮
𠪫,⿸厂⿰直攵
𠪬,⿸厂⿰⿱乛耳攴
𠪭,⿸厂敖
𠪮,⿸厂辟
𠪯,⿸厂睪
𠪰,⿸厡心
𠪱,⿸厤⿰⿺乚丶丶
𠪲,⿸厂勤
𠪳,⿸厂⿱⿻
𠪴,⿸厂楚
𠪵,⿸厂⿱龷重
𠪶,⿸厂⿱死豆
𠪷,⿸厂暈
𠪸,⿸厂葉
𠪹,⿸厂⿱⿻
𠪺,⿸厤分
𠪻,⿰𠂬尃
𠪼,⿸厂𮎙
𠪽,⿸厂⿰⿱立㠯尤
𠪾,⿸厤心
𠪿,⿸厂𧍣
𠫀,⿸厂壁
𠫁,⿸厂⿱琹日
𠫂,⿸厂盧
𠫃,⿸厂⿰幸罙
𠫄,⿸厂⿰⿱⿻羊丷口令
𠫅,⿰苔厚
𠫆,⿰厚苔
𠫇,⿸厂𦗟
𠫈,⿸厂⿰糸㲜
𠫉,⿸厂顛
𠫊,⿸厂聼
𠫋,⿸厂蘇
𠫌,⿰歷芟
𠫍,⿸厂贔
𠫎,⿸厂⿱⿰䀠犬金
𠫏,⿰歷卒
𠫐,⿸厂灥
𠫑,⿸厂驫
𠫒,⿱厡⿰厡厡
𠫓,⿻厶一
𠫔,⿱一厶
𠫕,⿺乙厶
𠫖,⿰厶乚
𠫗,⿵几厶
𠫘,⿱厶十
𠫙,⿺𠃊⿱厶人
𠫚,⿱厶𰀁
𠫛,⿱厶𠫔
𠫜,⿱厶⿹⺄力
𠫝,⿱厶𫶧
𠫞,⿱厸几
𠫟,⿳𠂉丄厶
𠫠,⿱厶𠘬
𠫡,⿱厶木
𠫢,⿱丰厶
𠫣,⿱厶内
𠫤,⿱乂厷
𠫥,⿳八人厶
𠫦,⿳厶冖巾
𠫧,⿱厶丙
𠫨,⿱厸凡
𠫩,⿱厶⿻中人
𠫪,⿱厶⿻人⿱口一
𠫫,⿱厽丂
𠫬,⿰㕕㕕
𠫭,⿱厶夵
𠫮,⿱厶⿰日几
𠫯,⿱厽人
𠫰,⿱厽三
𠫱,⿱厶⿲⿱厶丿丨⿱厶乚
𠫲,⿰𠫤卂
𠫳,⿰去及
𠫴,⿰去少
𠫵,⿳厶大㣺
𠫶,⿱厶里
𠫷,⿰𠫤丸
𠫸,⿱厶⿲⿱厶丨丨⿱厶丨
𠫹,⿱厸⿻甲一
𠫺,⿱厶⿻串一
𠫻,⿳厶大凷
𠫼,⿱厽⿲丿二丨
𠫽,⿺叁三
𠫾,⿰去多
𠫿,⿳厶大更
𠬀,⿱𤱊𠫔
𠬁,⿱厽圶
𠬂,⿳厸冖舛
𠬃,⿰去甫
𠬄,⿳厽夂三
𠬅,⿻叄一
𠬆,⿰⿱厶厼糸
𠬇,⿱去京
𠬈,⿰去卑
𠬉,⿰去争
𠬊,⿰⿱厶⿲丶丶丶参
𠬋,⿱厸星
𠬌,⿰并夋
𠬍,⿰夋免
𠬎,⿱厽妻
𠬏,⿰牟罔
𠬐,⿵𠫼⺝
𠬑,⿲去去去
𠬒,⿰去骨
𠬓,⿰參兄
𠬔,⿱厽鼎
𠬕,⿰去補
𠬖,⿱去補
𠬗,⿰厷義
𠬘,⿵𠫼韭
𠬙,⿰參兩
𠬚,⿱九又
𠬛,⿱刀又
𠬜,⿰又⿻乚𠃊
𠬝,⿸卩又
𠬞,⿰丩又
𠬟,⿱又厶
𠬠,⿱丷又
𠬡,⿸厂⿱一又
𠬢,⿱屮又
𠬣,⿹⿺㇉一又
𠬤,⿱又𰀁
𠬥,⿱巾又
𠬦,⿱丿𠕀
𠬧,⿰丬又
𠬨,⿰卪又
𠬩,⿸𠃜又
𠬪,⿱爫又
𠬫,⿰乜⿱コ又
𠬬,⿱八及
𠬭,⿱又尤
𠬮,⿰𠃜又
𠬯,⿱又𢆯
𠬰,⿱分又
𠬱,⿰另又
𠬲,⿱𡗜又
𠬳,⿲𠂈幺又
𠬴,⿱⿻又丷三
𠬵,⿰⿹⿻⺌一丿又
𠬶,⿳⺕冖又
𠬷,⿸⿻丆ユ又
𠬸,⿱回又
𠬹,⿱又糸
𠬺,⿱双廾
𠬻,⿻丰𠬞
𠬼,⿻𰀁⿰千又
𠬽,⿱又耒
𠬾,⿱又𢆶
𠬿,⿱丘𠬞
𠭀,⿱叒口
𠭁,⿱貝又
𠭂,⿱又孝
𠭃,⿰𦣞又
𠭄,⿱束又
𠭅,⿺友正
𠭆,⿱㞢𪠲
𠭇,⿰亩又
𠭈,⿳司冖又
𠭉,⿰⿱⺊用又
𠭊,⿰⿸𠂆三⿱𫜹又
𠭋,⿰叕㔾
𠭌,⿱叒⿻儿二
𠭍,⿱雨又
𠭎,⿱双吅
𠭏,⿱山叓
𠭐,⿺⿱士又𠂛
𠭑,⿰又奇
𠭒,⿱昌又
𠭓,⿰⿳止⺌一又
𠭔,⿰𠂤反
𠭕,⿰⿻丅丛⿱𠂉又
𠭖,⿰⿱爫古又
𠭗,⿰⿱⺊⿸乛丿⿱一井又
𠭘,⿱𣦼井
𠭙,⿸𢑚又
𠭚,⿱叒⿰口㔾
𠭛,⿱囱𠬞
𠭜,⿰𢑚又
𠭝,⿰⿱𠃊丆⿸尸反
𠭞,⿱叒叩
𠭟,⿳𱼀冖⿱幺又
𠭠,⿳⺈𦉪㞋
𠭡,⿳丿⿻人从𠬞
𠭢,⿱⿰⿱匕夕又井
𠭣,⿰彖又
𠭤,⿰吕反
𠭥,⿰祟又
𠭦,⿱八叟
𠭧,⿱爫⿸厂⿲⿱丶⺀丿又
𠭨,⿱叒共
𠭩,⿳𠫓日⿱冖又
𠭪,⿱䎳又
𠭫,⿰又⿱⿰夕又示
𠭬,⿰又烏
𠭭,⿱⿴𦥑与又
𠭮,⿱⿰⿱上夕又井
𠭯,⿰虘又
𠭰,⿸𠩺又
𠭱,⿰⿱覀𡉀又
𠭲,⿰昜⿱人又
𠭳,⿱䒑⿲⿱屮𰀪丨⿱又二
𠭴,⿰叕出
𠭵,⿱𠃬叹
𠭶,⿱丷⿸厂⿳⿻
𠭷,⿱赦又
𠭸,⿰𰶵又
𠭹,⿰貞㕛
𠭺,⿰㕛毖
𠭻,⿱䒑⿻⿲屮丨又⺝
𠭼,⿳北㓁㞋
𠭽,⿰⿱又水⿱夂⿵冂巾
𠭾,⿰⿳又𠂊巾⿳又𠂊巾
𠭿,⿰⿳一勿⿰日巾又
𠮀,⿱双⿰又⿵冂各
𠮁,⿰⿱乂⿺朩丶⿱
𠮂,⿰⿱共内友
𠮃,⿱辟又
𠮄,⿰叕兑
𠮅,⿱紅𦫿
𠮆,⿱双敗
𠮇,⿰⿱又𢁙⿱又𢁙
𠮈,⿰⿱丶⿸
𠮉,⿰睿又
𠮊,⿰㝵取
𠮋,⿰𣥚取
𠮌,⿰叕臽
𠮍,⿰⿻𡵃冂叜
𠮎,⿱⿻巫吅𠬞
𠮏,⿰𧇖又
𠮐,⿰叕舀
𠮑,⿱鞠又
𠮒,⿰章叕
𠮓,⿱䜌又
𠮔,⿰又麗
𠮕,⿳頁䖵又
𠮖,⿱䜌𠬜
𠮗,⿳爫⿰糸絲又
𠮘,⿰⿳厶山⿵冂不⿳𠮳旧又
𠮙,⿰口乙
𠮚,⿴囗丶
𠮛,⿱一口
𠮜,⿰口乚
𠮝,⿰口丨
𠮞,⿺乙口
𠮟,⿰口七
𠮠,⿱口勹
𠮡,⿱口二
𠮢,⿱又口
𠮣,⿱乂口
𠮤,⿰口𢎘
𠮥,⿱⺈口
𠮦,⿱丷口
𠮧,⿰口刂
𠮨,⿰口乃
𠮩,⿰口了
𠮪,⿰口𠃏
𠮫,⿱丸口
𠮬,⿰口丸
𠮭,⿰口勺
𠮮,⿱丿右
𠮯,⿱己口
𠮰,⿱口巛
𠮱,⿰口亏
𠮲,⿱口亏
𠮳,⿱上口
𠮴,⿱下口
𠮵,⿰口上
𠮶,⿰口个
𠮷,⿱土口
𠮸,⿹⺄⿱亠口
𠮹,⿰口才
𠮺,⿰口𰀠
𠮻,⿰口久
𠮼,⿰口⿻𬺰乀
𠮽,⿱口廾
𠮾,⿰口兀
𠮿,⿰口山
𠯀,⿰口川
𠯁,⿱口龰
𠯂,⿱口子
𠯃,⿱𠙼亅
𠯄,⿰口刃
𠯅,⿰口弋
𠯆,⿰口女
𠯇,⿰口己
𠯈,⿰口大
𠯉,⿱召一
𠯊,⿱口于
𠯋,⿰口兮
𠯌,⿱乂右
𠯍,⿰口冄
𠯎,⿰口丮
𠯏,⿰口气
𠯐,⿰口日
𠯑,⿱氏口
𠯒,⿱化口
𠯓,⿱斤口
𠯔,⿰口匹
𠯕,⿱口匹
𠯖,⿰口户
𠯗,⿰口帀
𠯘,⿰口反
𠯙,⿰口尐
𠯚,⿱口𥘅
𠯛,⿱𠂇古
𠯜,⿰口勾
𠯝,⿰口𢆰
𠯞,⿰口互
𠯟,⿰口见
𠯠,⿰口为
𠯡,⿰口⿱上乙
𠯢,⿰口卅
𠯣,⿱口之
𠯤,⿰口井
𠯥,⿰口卆
𠯦,⿰口切
𠯧,⿱口⿻
𠯨,⿱八召
𠯩,⿰口扎
𠯪,⿰口歹
𠯫,⿰口戈
𠯬,⿰口龰
𠯭,⿱口日
𠯮,⿱口𫩏
𠯯,⿰口片
𠯰,⿰口什
𠯱,⿰口⿱入入
𠯲,⿰口月
𠯳,⿱勿口
𠯴,⿰口卞
𠯵,⿳口ユ八
𠯶,⿹𠃚口
𠯷,⿰口⿵乃厶
𠯸,⿰口厅
𠯹,⿰口仍
𠯺,⿱⿰冫匕口
𠯻,⿰口幻
𠯼,⿰口仃
𠯽,⿰口止
𠯾,⿰口仇
𠯿,⿰口六
𠰀,⿰口⿻丨弓
𠰁,⿰口丐
𠰂,⿰口元
𠰃,⿰口壬
𠰄,⿰口予
𠰅,⿱口手
𠰆,⿰口⿱𰀄乙
𠰇,⿱口⿷⿻㇉冖一
𠰈,⿰口弘
𠰉,⿰口召
𠰊,⿰口疋
𠰋,⿰口丘
𠰌,⿰口末
𠰍,⿰口主
𠰎,⿱口㞋
𠰏,⿰口乏
𠰐,⿰口叵
𠰑,⿰口厈
𠰒,⿰口尒
𠰓,⿱口禾
𠰔,⿱母口
𠰕,⿱出口
𠰖,⿰口𦫼
𠰗,⿰口𠂞
𠰘,⿰口皿
𠰙,⿰口刊
𠰚,⿰口尔
𠰛,⿱山古
𠰜,⿰口⿻亅⿱丿䒑
𠰝,⿱罒口
𠰞,⿱𠂉吕
𠰟,⿴⿷𫸧一一
𠰠,⿰口巨
𠰡,⿳口宀⿺㇉一
𠰢,⿰口半
𠰣,⿱必口
𠰤,⿰⿱口方亅
𠰥,⿱䒑右
𠰦,⿰永口
𠰧,⿰口玉
𠰨,⿱口⿸厂⿰丿𠤎
𠰩,⿰口用
𠰪,⿰口正
𠰫,⿱𡗗口
𠰬,⿱口由
𠰭,⿰口卯
𠰮,⿰口生
𠰯,⿰口匆
𠰰,⿱代口
𠰱,⿰口节
𠰲,⿰口术
𠰳,⿰口丙
𠰴,⿰口石
𠰵,⿰口𡗜
𠰶,⿱一君
𠰷,⿰口卢
𠰸,⿰口囙
𠰹,⿰口㐌
𠰺,⿰口代
𠰻,⿰口外
𠰼,⿰口巿
𠰽,⿰口宂
𠰾,⿰口凥
𠰿,⿰口氶
𠱀,⿰口皮
𠱁,⿰口氹
𠱂,⿰口凸
𠱃,⿰口凹
𠱄,⿱口皿
𠱅,⿰口圣
𠱆,⿰口孕
𠱇,⿰口穴
𠱈,⿰口矢
𠱉,⿰口㐱
𠱊,⿰口仕
𠱋,⿰口由
𠱌,⿰口弍
𠱍,⿰口犯
𠱎,⿰口⿱勿一
𠱏,⿰口𭺜
𠱐,⿰口吴
𠱑,⿱口夻
𠱒,⿱朱口
𠱓,⿰口危
𠱔,⿰口守
𠱕,⿰口兊
𠱖,⿰口囟
𠱗,⿳亠口冄
𠱘,⿰口屰
𠱙,⿰口尗
𠱚,⿰口𠧗
𠱛,⿱刀冏
𠱜,⿰口存
𠱝,⿰口䏍
𠱞,⿰口杂
𠱟,⿰口⿱匕木
𠱠,⿰口吅
𠱡,⿰口𠕋
𠱢,⿰口汗
𠱣,⿰口⿹弓土
𠱤,⿰口耒
𠱥,⿰口卉
𠱦,⿱乑口
𠱧,⿱𠇊口
𠱨,⿰口𠃨
𠱩,⿵⿻兀冂𠮛
𠱪,⿰口⿱丶平
𠱫,⿳亠丷𫩑
𠱬,⿵用𠮛
𠱭,⿱艸口
𠱮,⿱口䏍
𠱯,⿱吅工
𠱰,⿵几⿱丰口
𠱱,⿰口⿱匆一
𠱲,⿰口𢑑
𠱳,⿰口弜
𠱴,⿰口全
𠱵,⿱𠮚央
𠱶,⿰口宇
𠱷,⿰口名
𠱸,⿰口臣
𠱹,⿰口托
𠱺,⿰口丞
𠱻,⿰口再
𠱼,⿰口考
𠱽,⿰口在
𠱾,⿰口寺
𠱿,⿰口劦
𠲀,⿱吏口
𠲁,⿱口⿺⿻㇂⿱口丿丶
𠲂,⿰口㕦
𠲃,⿰口印
𠲄,⿰口邜
𠲅,⿰口色
𠲆,⿰𥝍口
𠲇,⿰口⿱人不
𠲈,⿰口氽
𠲉,⿱口任
𠲊,⿰口𡕟
𠲋,⿰口朿
𠲌,⿰口戍
𠲍,⿰口丢
𠲎,⿰口伐
𠲏,⿰口任
𠲐,⿰口⿸𠂆氏
𠲑,⿰半⿱口𠄎
𠲒,⿱𠇍口
𠲓,⿰口夅
𠲔,⿰口亦
𠲕,⿰口庄
𠲖,⿰口衣
𠲗,⿰口䇂
𠲘,⿱羊口
𠲙,⿸㕧⿹九丶
𠲚,⿰口孖
𠲛,⿰口回
𠲜,⿰口争
𠲝,⿰口对
𠲞,⿰口扛
𠲟,⿰口件
𠲠,⿰口收
𠲡,⿰口好
𠲢,⿰口吊
𠲣,⿰口血
𠲤,⿰口汝
𠲥,⿰口礼
𠲦,⿰口戎
𠲧,⿰口式
𠲨,⿰口池
𠲩,⿱六古
𠲪,⿰口𢨪
𠲫,⿰口⿹⺄出
𠲬,⿰口𦣞
𠲭,⿰吆欠
𠲮,⿰口巠
𠲯,⿱每口
𠲰,⿰口君
𠲱,⿰丰各
𠲲,⿰口⿱亠⿻⿲丿丿⿰丿丿乀
𠲳,⿰口身
𠲴,⿰口投
𠲵,⿰口劫
𠲶,⿰口免
𠲷,⿰口𦔮
𠲸,⿰口男
𠲹,⿰口忌
𠲺,⿰口岌
𠲻,⿱沂口
𠲼,⿰口臼
𠲽,⿰口佛
𠲾,⿰口䀏
𠲿,⿰口束
𠳀,⿰口甬
𠳁,⿰口困
𠳂,⿰口𠯑
𠳃,⿰口汞
𠳄,⿱巫口
𠳅,⿱釆口
𠳆,⿹𢦒口
𠳇,⿱听口
𠳈,⿰口𠯌
𠳉,⿰口⿱旬一
𠳊,⿰可去
𠳋,⿱𠀐㠯
𠳌,⿰去可
𠳍,⿰口𮕜
𠳎,⿰口似
𠳏,⿰口扯
𠳐,⿰口邦
𠳑,⿰口抑
𠳒,⿰口𡗶
𠳓,⿰口庇
𠳔,⿰口佢
𠳕,⿰口抄
𠳖,⿰口扱
𠳗,⿰口壳
𠳘,⿰口攸
𠳙,⿰台代
𠳚,⿰口改
𠳛,⿱㳊口
𠳜,⿸㕩𡿨
𠳝,⿰口否
𠳞,⿰口却
𠳟,⿰口⿱干元
𠳠,⿰口⿱⿸厂二兀
𠳡,⿰口串
𠳢,⿱叱必
𠳣,⿰口𦉴
𠳤,⿰口步
𠳥,⿰口⿱山仝
𠳦,⿰口⿱罒又
𠳧,⿰口⿷⿺
𠳨,⿰口每
𠳩,⿰口佊
𠳪,⿰口𠯳
𠳫,⿰古用
𠳬,⿰古古
𠳭,⿰口克
𠳮,⿱右冋
𠳯,⿰号号
𠳰,⿰口⿱止夂
𠳱,⿰口卤
𠳲,⿰口⿱日于
𠳳,⿰口呆
𠳴,⿰口⿱中女
𠳵,⿱吅文
𠳶,⿰口秃
𠳷,⿰口佉
𠳸,⿰口⿱𠚤木
𠳹,⿰口床
𠳺,⿰口吝
𠳻,⿰口⿱文夕
𠳼,⿰口宋
𠳽,⿰口䆑
𠳾,⿰口罕
𠳿,⿰口尾
𠴀,⿰口⿱弜一
𠴁,⿰口⿸⿹巳口𠃌
𠴂,⿰口努
𠴃,⿰口⿻人⿱厸一
𠴄,⿰口糺
𠴅,⿱⿻示人口
𠴆,⿰口忒
𠴇,⿰口兵
𠴈,⿰口宏
𠴉,⿰口阮
𠴊,⿰口吕
𠴋,⿰口抛
𠴌,⿰口灵
𠴍,⿰口忍
𠴎,⿰口沃
𠴏,⿰口芒
𠴐,⿰口忸
𠴑,⿰口𦬑
𠴒,⿰口伶
𠴓,⿰口低
𠴔,⿰口呈
𠴕,⿰口妙
𠴖,⿰口位
𠴗,⿰口杜
𠴘,⿰口村
𠴙,⿰口把
𠴚,⿰口作
𠴛,⿰口穷
𠴜,⿰口技
𠴝,⿰口汪
𠴞,⿰口伴
𠴟,⿰口芈
𠴠,⿰口𠇮
𠴡,⿰口皃
𠴢,⿰口声
𠴣,⿰口⿱丷句
𠴤,⿰吐心
𠴥,⿰口沈
𠴦,⿰句主
𠴧,⿰口亝
𠴨,⿰口官
𠴩,⿱口其
𠴪,⿰口㕞
𠴫,⿰口叔
𠴬,⿰口𣏋
𠴭,⿰口易
𠴮,⿰口忿
𠴯,⿰口⿻𡈼从
𠴰,⿰口咎
𠴱,⿰口固
𠴲,⿰口沓
𠴳,⿰口肴
𠴴,⿰口迊
𠴵,⿰口帚
𠴶,⿰口⿱匈儿
𠴷,⿰口㕁
𠴸,⿱波口
𠴹,⿰口泣
𠴺,⿰口𠒆
𠴻,⿰口陁
𠴼,⿰口到
𠴽,⿰口⿱亠多
𠴾,⿰口⿱丑丑
𠴿,⿳口丿囲
𠵀,⿱品十
𠵁,⿵周口
𠵂,⿱林口
𠵃,⿰口㚔
𠵄,⿰口𬙘
𠵅,⿰口花
𠵆,⿰口担
𠵇,⿰口奇
𠵈,⿰口妹
𠵉,⿰口杭
𠵊,⿱𦍌古
𠵋,⿰口𭎊
𠵌,⿰口宜
𠵍,⿱析口
𠵎,⿰口姑
𠵏,⿰口匼
𠵐,⿰口怯
𠵑,⿸㕧司
𠵒,⿰口䘚
𠵓,⿳丿𠮚⿳丨𠮚丨
𠵔,⿰口並
𠵕,⿰口坴
𠵖,⿰口戔
𠵗,⿰号光
𠵘,⿰口門
𠵙,⿰口岺
𠵚,⿰口岸
𠵛,⿱口㕺
𠵜,⿰口罔
𠵝,⿰口芽
𠵞,⿰告勿
𠵟,⿰口⿱𠂒木
𠵠,⿰口⿱一否
𠵡,⿰口㐩
𠵢,⿰口𧹘
𠵣,⿰口軋
𠵤,⿱叀口
𠵥,⿱五吾
𠵦,⿰吾午
𠵧,⿸𮝾口
𠵨,⿰口㝵
𠵩,⿰口果
𠵪,⿱吅⿰工乂
𠵫,⿰口昂
𠵬,⿱品又
𠵭,⿰口𦙃
𠵮,⿰口牪
𠵯,⿰口刮
𠵰,⿰口⿱𠂉光
𠵱,⿰口依
𠵲,⿰后可
𠵳,⿰后㞋
𠵴,⿰口命
𠵵,⿰合半
𠵶,⿳口凶𠬞
𠵷,⿰口兖
𠵸,⿰口弥
𠵹,⿰口岡
𠵺,⿰口𱬷
𠵻,⿰口宗
𠵼,⿰口孟
𠵽,⿰口法
𠵾,⿰口画
𠵿,⿰口披
𠶀,⿰口罙
𠶁,⿰口𭁈
𠶂,⿰口𢼂
𠶃,⿰口玩
𠶄,⿰吇可
𠶅,⿰口招
𠶆,⿰口𨑮
𠶇,⿰吊永
𠶈,⿰口社
𠶉,⿰口凭
𠶊,⿰口坡
𠶋,⿰口芥
𠶌,⿰口近
𠶍,⿰口枕
𠶎,⿰口彼
𠶏,⿰口秉
𠶐,⿰口迎
𠶑,⿰口𱐍
𠶒,⿰口怛
𠶓,⿰口表
𠶔,⿰口怪
𠶕,⿰口沼
𠶖,⿰口枉
𠶗,⿰口直
𠶘,⿱可列
𠶙,⿰口芣
𠶚,⿰口妸
𠶛,⿰口京
𠶜,⿰口制
𠶝,⿰口事
𠶞,⿰口性
𠶟,⿰口押
𠶠,⿰口治
𠶡,⿰口𥐧
𠶢,⿰口油
𠶣,⿰口枚
𠶤,⿰口尚
𠶥,⿰口穹
𠶦,⿰口庙
𠶧,⿰口店
𠶨,⿰口炙
𠶩,⿸㕧𫞕
𠶪,⿰口⿸虍刀
𠶫,⿰口⿱大氶
𠶬,⿳吅一龷
𠶭,⿰口⿱⿻
𠶮,⿱吉古
𠶯,⿰口拙
𠶰,⿱𠚤周
𠶱,⿰可各
𠶲,⿰口厒
𠶳,⿱⿰户殳口
𠶴,⿰口𨸲
𠶵,⿳口⿺丄⿰⿹勹丿丨八
𠶶,⿰启戈
𠶷,⿳立中口
𠶸,⿰口卻
𠶹,⿰口紇
𠶺,⿰口㪅
𠶻,⿰口咠
𠶼,⿰口𥄉
𠶽,⿰口𢇂
𠶾,⿰口苛
𠶿,⿰口羍
𠷀,⿰口耎
𠷁,⿰口前
𠷂,⿰口怠
𠷃,⿰口叜
𠷄,⿰口𢈊
𠷅,⿰口茁
𠷆,⿰口苲
𠷇,⿰口施
𠷈,⿰口律
𠷉,⿰口迦
𠷊,⿰口便
𠷋,⿰口厚
𠷌,⿰口則
𠷍,⿰口⿺𠃊录
𠷎,⿹𢏚口
𠷏,⿺丸咼
𠷐,⿰口恒
𠷑,⿰口癹
𠷒,⿰口⿱爪目
𠷓,⿰甹只
𠷔,⿱⿻大吅亾
𠷕,⿰口風
𠷖,⿰口窆
𠷗,⿸彦口
𠷘,⿰口秌
𠷙,⿰口⿱目攵
𠷚,⿰口昰
𠷛,⿳口一⿱凶𠬞
𠷜,⿱坐句
𠷝,⿰口𱕻
𠷞,⿰卵古
𠷟,⿰口界
𠷠,⿱䂝口
𠷡,⿱百合
𠷢,⿲口𦈢亍
𠷣,⿰口虽
𠷤,⿰口胞
𠷥,⿰口亭
𠷦,⿰口勉
𠷧,⿰口⿹戈灭
𠷨,⿰口扁
𠷩,⿰口姜
𠷪,⿰口⿱宀𠮷
𠷫,⿱⿻十吅𧘇
𠷬,⿰口柬
𠷭,⿰口凾
𠷮,⿰口毒
𠷯,⿰口眉
𠷰,⿱口面
𠷱,⿺⿳一丈口甘
𠷲,⿰口⿱⺕吋
𠷳,⿺⿱日各卜
𠷴,⿰口後
𠷵,⿰口紂
𠷶,⿰口㚅
𠷷,⿰𤤋口
𠷸,⿰口壴
𠷹,⿰口相
𠷺,⿰口勃
𠷻,⿰哂寸
𠷼,⿰口⿵戌小
𠷽,⿻丨⿳吅𰀃人
𠷾,⿰口𥄎
𠷿,⿰口怎
𠸀,⿰口⿱夕交
𠸁,⿰口派
𠸂,⿰口突
𠸃,⿰口㢲
𠸄,⿰口英
𠸅,⿱吅𣦼
𠸆,⿱次吉
𠸇,⿰口⿱弜大
𠸈,⿳吅一主
𠸉,⿰口峉
𠸊,⿰口耷
𠸋,⿰口苦
𠸌,⿰口㒸
𠸍,⿰口美
𠸎,⿰口拏
𠸏,⿰口茄
𠸐,⿰口衿
𠸑,⿰口削
𠸒,⿰口保
𠸓,⿰口括
𠸔,⿰口⿱艹市
𠸕,⿰口胤
𠸖,⿰口苓
𠸗,⿱初古
𠸘,⿰口俗
𠸙,⿰古弄
𠸚,⿰口苟
𠸛,⿰名先
𠸜,⿺先名
𠸝,⿰口疌
𠸞,⿰口炶
𠸟,⿰口盃
𠸠,⿰口𱒢
𠸡,⿰口洫
𠸢,⿰口畐
𠸣,⿰口紅
𠸤,⿰口待
𠸥,⿰口計
𠸦,⿰口看
𠸧,⿰口恪
𠸨,⿰口俚
𠸩,⿰口貞
𠸪,⿰口洛
𠸫,⿰口奏
𠸬,⿰口侵
𠸭,⿺是口
𠸮,⿰甹号
𠸯,⿰口匽
𠸰,⿰呦欠
𠸱,⿱⿰𠮝口示
𠸲,⿳一厸冏
𠸳,⿰口陋
𠸴,⿰口𢦶
𠸵,⿰口𭾡
𠸶,⿱哭亡
𠸷,⿰口浮
𠸸,⿰口唇
𠸹,⿰口彧
𠸺,⿰口逆
𠸻,⿰口建
𠸼,⿰口𨒒
𠸽,⿰口迡
𠸾,⿰口𦚖
𠸿,⿰𠧢召
𠹀,⿰口孫
𠹁,⿰口窊
𠹂,⿰口疵
𠹃,⿰口盎
𠹄,⿰口圅
𠹅,⿰口恭
𠹆,⿰口耽
𠹇,⿰口𣬉
𠹈,⿱吅里
𠹉,⿳龸⿺𠃊口日
𠹊,⿰口草
𠹋,⿰口疾
𠹌,⿰口能
𠹍,⿰口容
𠹎,⿰口烋
𠹏,⿰口蚤
𠹐,⿰口夎
𠹑,⿰口臬
𠹒,⿰口宫
𠹓,⿸𠯖缶
𠹔,⿰口唐
𠹕,⿰口豹
𠹖,⿰口展
𠹗,⿰口哲
𠹘,⿰口⿸𭾛又
𠹙,⿰口挈
𠹚,⿰口員
𠹛,⿰口豈
𠹜,⿱品止
𠹝,⿱㭝口
𠹞,⿰口⿱含廾
𠹟,⿱𡨄口
𠹠,⿰口⿱臼木
𠹡,⿰口𦤃
𠹢,⿱𭮪口
𠹣,⿱吅攻
𠹤,⿰口恚
𠹥,⿰口𦐇
𠹦,⿰口⿱比糸
𠹧,⿱立⿵⿻人𠔼口
𠹨,⿰⿱⺈𡰪乍
𠹩,⿱君乑
𠹪,⿰咅句
