z1,r,z2
弹,Traditional,彈
强,Semantic,強
强,Semantic,彊
强,SpecializedSemantic,彊
强,Traditional,強
彀,Semantic,够
彀,Semantic,夠
彄,Simplified,𫸩
彈,Simplified,弹
彊,Semantic,強
彊,Semantic,强
彊,SpecializedSemantic,強
彊,SpecializedSemantic,强
彌,Simplified,弥
彍,Simplified,𭚦
彎,Simplified,弯
彐,Semantic,彑
彑,Semantic,彐
归,Semantic,歸
归,Traditional,歸
当,SpecializedSemantic,當
当,Traditional,噹
当,Traditional,當
录,Traditional,錄
彙,Simplified,汇
彝,Traditional,彞
彞,Simplified,彝
彟,Traditional,彠
彠,Simplified,彟
彥,Simplified,彦
彦,Traditional,彥
彨,Traditional,彲
彫,Semantic,㓮
彫,Semantic,雕
彫,SpecializedSemantic,鵰
彬,Semantic,斌
彲,Simplified,彨
彷,Semantic,髣
彷,Semantic,徬
彸,Semantic,伀
彻,Traditional,徹
往,Semantic,徃
往,SpecializedSemantic,徃
征,Simplified,征
征,Traditional,征
征,Traditional,徵
徃,Semantic,往
徃,SpecializedSemantic,往
径,Traditional,徑
後,Simplified,后
徑,Semantic,俓
徑,Simplified,径
徑,SpecializedSemantic,勁
徒,Semantic,𨑒
徕,Traditional,徠
從,Semantic,从
從,Simplified,从
從,SpecializedSemantic,从
徠,Semantic,倈
徠,Semantic,勑
徠,Simplified,徕
御,Semantic,馭
御,SpecializedSemantic,馭
御,Traditional,禦
徤,Semantic,健
徧,Semantic,遍
復,Simplified,复
復,Simplified,復
復,Traditional,復
徬,Semantic,彷
徭,Semantic,傜
徵,Simplified,征
徵,Simplified,徵
徵,Traditional,徵
德,Semantic,悳
德,Semantic,惪
徹,Semantic,澈
徹,Simplified,彻
徿,Simplified,𪫌
心,Semantic,㣺
心,Semantic,忄
忄,Semantic,㣺
忄,Semantic,心
忆,Traditional,憶
忍,Semantic,㣼
忏,Traditional,懺
志,Simplified,志
志,Traditional,志
志,Traditional,誌
志,Compat,𢖽
忤,Semantic,啎
忤,Semantic,迕
忧,Traditional,憂
忭,Semantic,昪
忻,Semantic,欣
忼,Semantic,慷
忾,Traditional,愾
怀,Semantic,懷
怀,Traditional,懷
态,Traditional,態
怂,Traditional,慫
怃,Traditional,憮
怄,Traditional,慪
怅,Traditional,悵
怆,Traditional,愴
怌,Semantic,懷
怜,Traditional,憐
怪,Semantic,恠
怱,Semantic,匆
怱,Semantic,悤
怳,Semantic,恍
怸,SpecializedSemantic,悉
总,Traditional,總
怼,Traditional,懟
怽,Compat,𢗿
怿,Traditional,懌
恆,Semantic,恒
恆,Simplified,恒
恆,Compat,恒
恊,Semantic,勰
恋,Semantic,戀
恋,SpecializedSemantic,戀
恋,Traditional,戀
恍,Semantic,怳
恐,Semantic,𢙢
恒,Semantic,恆
恒,Traditional,恆
恒,Compat,恆
恠,Semantic,怪
恡,Semantic,吝
恡,Semantic,悋
恤,Semantic,卹
恥,Semantic,耻
恥,Simplified,耻
恩,Semantic,摁
恳,Traditional,懇
恶,Traditional,惡
恸,Traditional,慟
恹,Traditional,懨
恺,Traditional,愷
恻,Traditional,惻
恼,Traditional,惱
恽,Traditional,惲
恿,Semantic,慂
悁,Semantic,懁
悅,Semantic,悦
悅,Simplified,悦
悅,Compat,悦
悊,Semantic,哲
悋,Semantic,吝
悋,Semantic,恡
悏,Simplified,𫺂
悐,Semantic,惕
悚,Semantic,𢥠
悞,Semantic,誤
悞,Simplified,悮
悠,Semantic,滺
悤,Semantic,匆
悤,Semantic,怱
悦,Semantic,悅
悦,Traditional,悅
悦,Compat,悅
您,SpecializedSemantic,你
您,SpecializedSemantic,妳
您,SpecializedSemantic,祢
您,SpecializedSemantic,袮
悫,Traditional,愨
悬,Traditional,懸
悭,Traditional,慳
悮,Traditional,悞
悯,Traditional,憫
悳,Semantic,德
悵,Simplified,怅
悶,Semantic,㥃
悶,Semantic,懣
悶,Simplified,闷
惀,Simplified,𰑄
惇,Semantic,敦
惊,Traditional,驚
惕,Semantic,悐
惛,Semantic,惽
惝,Semantic,𢠵
惡,Simplified,恶
惧,Semantic,懼
惧,Traditional,懼
惨,Traditional,慘
惩,Semantic,懲
惩,Traditional,懲
惪,Semantic,德
惫,Traditional,憊
惬,Traditional,愜
惭,Traditional,慚
惮,Traditional,憚
惯,Traditional,慣
惱,Simplified,恼
惱,SpecializedSemantic,嬲
惲,Simplified,恽
惺,Semantic,𢜫
惺,SpecializedSemantic,醒
惻,Simplified,恻
惽,Semantic,惛
愇,Simplified,𫹴
愈,Semantic,愉
愈,SpecializedSemantic,瘉
愉,Semantic,愈
愍,Semantic,憫
愛,Simplified,爱
愜,Simplified,惬
愠,Semantic,慍
愠,Traditional,慍
愤,Traditional,憤
愦,Traditional,憒
愧,Semantic,媿
愨,Simplified,悫
愩,Simplified,𫺌
愬,Semantic,訴
愬,SpecializedSemantic,訴
愴,Simplified,怆
愷,Simplified,恺
愻,Semantic,遜
愽,Semantic,博
愾,Simplified,忾
愿,Semantic,願
愿,Simplified,愿
愿,SpecializedSemantic,願
愿,Traditional,愿
愿,Traditional,願
慁,Semantic,㥵
慂,Semantic,恿
慄,Simplified,栗
慈,Semantic,㤵
態,Simplified,态
慍,Semantic,愠
慍,Simplified,愠
慐,Simplified,𰑟
慑,Traditional,懾
慘,Simplified,惨
慙,Semantic,慚
慙,Simplified,𰑧
慚,Semantic,慙
慚,Simplified,惭
慞,Semantic,傽
慟,Simplified,恸
慣,Simplified,惯
慪,Simplified,怄
慪,SpecializedSemantic,嘔
慫,Simplified,怂
慭,Traditional,憖
慮,Simplified,虑
慯,Simplified,𫹽
慱,Simplified,𰑁
慲,Simplified,𰒆
慳,Simplified,悭
慶,Simplified,庆
慷,Semantic,忼
慸,Simplified,𰑵
慹,Simplified,𰑔
慺,Simplified,㥪
慼,Semantic,慽
慽,Semantic,慼
慾,Semantic,欲
憂,Simplified,忧
憂,SpecializedSemantic,懮
憇,Semantic,憩
憊,Simplified,惫
憋,Semantic,𢠳
憍,Simplified,㤭
憐,Simplified,怜
憑,Semantic,凴
憑,Semantic,𠗦
憑,Simplified,凭
憒,Simplified,愦
憔,Semantic,顦
憖,Simplified,慭
憙,Semantic,喜
憚,Simplified,惮
憝,Semantic,譈
憝,Semantic,懟
憢,Simplified,𢙒
憤,Simplified,愤
憦,Simplified,𫺘
憩,Semantic,憇
憪,Simplified,𰑥
憫,Semantic,愍
憫,Simplified,悯
憮,Simplified,怃
憯,Semantic,㦧
憰,Semantic,譎
憲,Simplified,宪
憴,Simplified,𰑪
憶,Simplified,忆
憸,Simplified,𪫺
憹,Simplified,𢙐
懀,Simplified,𢙓
懁,Semantic,悁
懇,Simplified,恳
應,Simplified,应
應,SpecializedSemantic,硬
懌,Simplified,怿
懍,Simplified,懔
懑,Traditional,懣
懒,Traditional,懶
懓,Simplified,𭞄
懔,Semantic,凛
懔,Traditional,懍
懕,Simplified,𰑕
懘,Simplified,𰒒
懙,Simplified,𫹮
懜,Semantic,懵
懜,Simplified,𢟼
懞,Simplified,蒙
懟,Semantic,憝
懟,Semantic,譈
懟,Simplified,怼
懠,Simplified,𫺊
懣,Semantic,㥃
懣,Semantic,悶
懣,Simplified,懑
懤,Simplified,㤽
懥,Semantic,懫
懧,Simplified,㤖
懨,Simplified,恹
懩,Simplified,𫺪
懫,Semantic,懥
懫,Simplified,𰑬
懭,Simplified,𰐾
懮,SpecializedSemantic,憂
懰,Simplified,𰑙
懲,Semantic,惩
懲,Simplified,惩
懵,Semantic,懜
懶,Simplified,懒
懷,Semantic,怀
懷,Semantic,怌
懷,Simplified,怀
懸,Simplified,悬
懺,Simplified,忏
懼,Semantic,惧
懼,Simplified,惧
懽,Semantic,歡
懽,Semantic,欢
懾,Simplified,慑
戀,Semantic,恋
戀,Simplified,恋
戀,SpecializedSemantic,恋
戁,Simplified,𫺷
戃,Simplified,𰑿
戆,Traditional,戇
戇,Simplified,戆
戉,Semantic,鉞
戋,Traditional,戔
戏,Traditional,戲
戔,Simplified,戋
戗,Traditional,戧
战,Traditional,戰
戧,Semantic,創
戧,Simplified,戗
戩,Simplified,戬
戬,Traditional,戩
戯,Semantic,戲
戯,Traditional,戱
戰,Simplified,战
戰,Simplified,𢧐
戱,Semantic,戲
戱,Simplified,戯
戲,Semantic,戯
戲,Semantic,戱
戲,Simplified,戏
戶,Simplified,户
戶,Compat,户
戶,Compat,戸
户,Traditional,戶
户,Compat,戶
户,Compat,戸
戸,Compat,戶
戸,Compat,户
戹,Semantic,厄
扁,SpecializedSemantic,艑
扅,Semantic,扊
扊,Semantic,扅
手,Semantic,扌
扌,Semantic,手
才,SpecializedSemantic,纔
才,SpecializedSemantic,財
才,Traditional,纔
扎,Semantic,紮
扑,Semantic,撲
扑,Traditional,撲
托,Semantic,拓
托,SpecializedSemantic,拓
扞,Semantic,捍
执,Semantic,執
执,Traditional,執
扩,Traditional,擴
扪,Traditional,捫
扫,Traditional,掃
扬,Traditional,揚
扯,Semantic,撦
扰,Traditional,擾
扳,Semantic,攀
扵,Semantic,于
扵,Semantic,亏
扵,Semantic,於
扼,Semantic,㧖
扼,Semantic,搤
抌,Semantic,舀
抍,Semantic,拯
抍,SpecializedSemantic,基
折,SpecializedSemantic,翼
折,SpecializedSemantic,拃
折,Traditional,摺
抚,Traditional,撫
抛,Traditional,拋
抝,Semantic,拗
抟,Traditional,摶
抠,Traditional,摳
抡,Traditional,掄
抢,Traditional,搶
护,Traditional,護
报,Semantic,報
报,Traditional,報
披,SpecializedSemantic,㓟
抬,Semantic,擡
抬,SpecializedSemantic,擡
抹,Spoofing,抺
抺,Spoofing,抹
抽,Semantic,𢭆
抿,Semantic,㨉
拃,SpecializedSemantic,折
担,Semantic,擔
担,SpecializedSemantic,擔
担,Traditional,擔
拆,SpecializedSemantic,責
拇,Semantic,𧿹
拈,SpecializedSemantic,敁
拋,Simplified,抛
拏,Semantic,拿
拏,Semantic,挐
拓,Semantic,托
拓,SpecializedSemantic,托
拕,Semantic,拖
拖,Semantic,拕
拗,Semantic,抝
拚,SpecializedSemantic,帆
拟,Traditional,擬
拢,Traditional,攏
拣,Traditional,揀
拥,Traditional,擁
拦,Traditional,攔
拧,Traditional,擰
拨,Traditional,撥
择,Traditional,擇
拭,Semantic,𢂑
拯,Semantic,抍
拯,SpecializedSemantic,基
拼,Semantic,摒
拼,SpecializedSemantic,秉
拽,SpecializedSemantic,曳
拾,SpecializedSemantic,十
拿,Semantic,拏
拿,Semantic,挐
挂,Semantic,掛
挂,Traditional,掛
按,SpecializedSemantic,搵
挐,Semantic,拏
挐,Semantic,拿
挙,Traditional,𢸁
挚,Traditional,摯
挛,Traditional,攣
挜,Traditional,掗
挝,Traditional,撾
挞,Traditional,撻
挟,Traditional,挾
挠,Traditional,撓
挡,Traditional,擋
挢,Traditional,撟
挣,Traditional,掙
挤,Traditional,擠
挥,Traditional,揮
挦,Traditional,撏
挩,Simplified,捝
挩,Compat,捝
挫,Semantic,繲
挭,Semantic,骾
挭,Semantic,鯁
挱,Semantic,挲
挲,Semantic,挱
挷,Semantic,搒
挼,Semantic,捼
挽,SpecializedSemantic,掇
挽,Traditional,輓
挾,Simplified,挟
挿,Compat,插
挿,Compat,揷
捆,Semantic,綑
捉,SpecializedSemantic,杓
捌,Semantic,八
捌,SpecializedSemantic,八
捍,Semantic,扞
捏,Semantic,揑
捓,Semantic,揶
捝,Traditional,挩
捝,Compat,挩
捞,Traditional,撈
损,Traditional,損
捡,Traditional,撿
换,Traditional,換
捣,Traditional,搗
捦,Semantic,擒
捨,Simplified,舍
捨,SpecializedSemantic,舍
捫,Simplified,扪
捬,Semantic,撫
据,Traditional,據
捲,Simplified,卷
捵,Semantic,䥀
捶,Semantic,箠
捷,Semantic,㨗
捼,Semantic,挼
掁,Simplified,𰓄
掂,Semantic,敁
掃,Semantic,埽
掃,Simplified,扫
掄,Simplified,抡
掆,Simplified,㧏
掇,SpecializedSemantic,挽
掉,SpecializedSemantic,棹
掏,Semantic,搯
掐,Semantic,𠜼
掗,Simplified,挜
掙,Simplified,挣
掚,Simplified,𪭵
掛,Semantic,挂
掛,Simplified,挂
採,Simplified,采
掩,Semantic,揜
掩,SpecializedSemantic,揞
掬,Semantic,匊
掳,Traditional,擄
掴,Traditional,摑
掷,Traditional,擲
掸,Traditional,撣
掺,Traditional,摻
掼,Traditional,摜
掽,Semantic,碰
揀,Simplified,拣
揅,Semantic,研
揅,SpecializedSemantic,研
揑,Semantic,捏
插,Compat,挿
插,Compat,揷
揚,Simplified,扬
換,Simplified,换
揜,Semantic,掩
揜,SpecializedSemantic,掩
揝,Semantic,撍
揝,SpecializedSemantic,攢
揞,SpecializedSemantic,掩
揦,Semantic,攋
揪,Semantic,揫
揫,Semantic,揪
揭,SpecializedSemantic,結
揮,Simplified,挥
揶,Semantic,捓
揷,Compat,挿
揷,Compat,插
揸,Semantic,楂
揸,Semantic,摣
揺,Compat,搖
揺,Compat,摇
揽,Traditional,攬
揾,Simplified,揾
揾,Traditional,揾
揾,Traditional,搵
揿,Traditional,撳
搀,Traditional,攙
搁,Traditional,擱
搂,Traditional,摟
搃,Semantic,總
搃,Semantic,摠
搅,Traditional,攪
搇,Semantic,撳
搉,Semantic,㩁
搉,Compat,㩁
搊,Simplified,𫼝
損,Simplified,损
搎,Simplified,𰓧
搒,Semantic,挷
搖,Semantic,摇
搖,Simplified,摇
搖,Compat,揺
搖,Compat,摇
搗,Semantic,擣
搗,Simplified,捣
搜,Semantic,𢯱
搜,Semantic,𢲷
搞,Semantic,攪
搤,Semantic,㧖
搤,Semantic,扼
搪,Semantic,傏
搫,Semantic,搬
搬,Semantic,搫
搭,Semantic,撘
搯,Semantic,掏
搵,Simplified,揾
搵,SpecializedSemantic,按
搶,Simplified,抢
携,Semantic,攜
携,Traditional,攜
摀,Simplified,𰓆
摁,Semantic,恩
摃,Simplified,𫼱
摄,Traditional,攝
摅,Traditional,攄
摆,Traditional,擺
摇,Semantic,搖
摇,Traditional,搖
摇,Compat,揺
摇,Compat,搖
摈,Traditional,擯
摊,Traditional,攤
摋,Simplified,𢫬
摐,Simplified,𪭢
摑,Simplified,掴
摒,Semantic,拼
摔,SpecializedSemantic,甩
摕,Simplified,𰔇
摙,Simplified,𫽁
摜,Simplified,掼
摟,Simplified,搂
摠,Semantic,搃
摠,Semantic,總
摡,Semantic,溉
摣,Semantic,揸
摪,Simplified,𫽣
摫,Simplified,𰓻
摭,SpecializedSemantic,拓
摮,Semantic,𢳆
摯,Simplified,挚
摲,Simplified,𰓼
摳,Simplified,抠
摴,SpecializedSemantic,舒
摶,Simplified,抟
摺,Simplified,折
摻,Simplified,掺
摼,Simplified,𰓱
撂,Semantic,㨼
撄,Traditional,攖
撆,Semantic,撇
撇,Semantic,撆
撈,Simplified,捞
撊,Simplified,𪭾
撋,Simplified,𰓷
撌,Simplified,𰔋
撍,Semantic,揝
撍,SpecializedSemantic,攢
撏,Simplified,挦
撐,Semantic,撑
撐,Simplified,撑
撑,Semantic,撐
撑,Traditional,撐
撓,Simplified,挠
撘,Semantic,搭
撝,Simplified,㧑
撟,Semantic,嬌
撟,Simplified,挢
撢,SpecializedSemantic,撣
撣,Simplified,掸
撣,SpecializedSemantic,撢
撥,Simplified,拨
撦,Semantic,扯
撧,Simplified,𪮖
撫,Semantic,捬
撫,Simplified,抚
撲,Semantic,扑
撲,Simplified,扑
撳,Semantic,搇
撳,Simplified,揿
撵,Traditional,攆
撶,Simplified,𫼧
撷,Traditional,擷
撸,Traditional,擼
撺,Traditional,攛
撻,Simplified,挞
撽,Semantic,擊
撾,Simplified,挝
撿,Simplified,捡
擁,Simplified,拥
擃,Semantic,攮
擃,Simplified,𫼮
擄,Semantic,虜
擄,Simplified,掳
擄,SpecializedSemantic,虜
擇,Simplified,择
擈,Simplified,𭠙
擊,Semantic,撽
擊,Simplified,击
擋,Semantic,攩
擋,Semantic,𫽮
擋,Simplified,挡
擒,Semantic,捦
擓,Simplified,㧟
擔,Semantic,担
擔,Simplified,担
擔,SpecializedSemantic,担
擗,Semantic,劈
據,Simplified,据
擜,Traditional,㩵
擞,Traditional,擻
擟,Simplified,𪭧
擠,Simplified,挤
擡,Semantic,抬
擡,SpecializedSemantic,抬
擣,Semantic,搗
擣,Simplified,𢭏
擥,Semantic,㩜
擥,Semantic,攬
擥,Simplified,㧛
擧,Semantic,舉
擧,Simplified,𢪓
擪,Simplified,𰓙
擫,Simplified,𢬍
擬,Simplified,拟
擯,Simplified,摈
擰,Simplified,拧
擱,Simplified,搁
擲,Semantic,擿
擲,Simplified,掷
擳,Simplified,𰓜
擴,Simplified,扩
擷,Simplified,撷
擸,Semantic,㧜
擺,Simplified,摆
擻,Simplified,擞
擼,Simplified,撸
擽,Simplified,㧰
擾,Simplified,扰
擿,Semantic,擲
攀,Semantic,㐴
攀,Semantic,扳
攄,Simplified,摅
攅,Semantic,攢
攆,Simplified,撵
攋,Semantic,揦
攋,Simplified,𪮶
攎,Simplified,𢫘
攏,Simplified,拢
攑,Simplified,𫽥
攒,Traditional,攢
攔,Simplified,拦
攖,Simplified,撄
攙,Simplified,搀
攛,Simplified,撺
攜,Semantic,携
攜,Simplified,携
攝,Simplified,摄
攞,Simplified,𫽋
攢,Semantic,攅
攢,Simplified,攒
攢,SpecializedSemantic,揝
攢,SpecializedSemantic,撍
攣,Simplified,挛
攤,Simplified,摊
攦,Simplified,𰓬
攧,Simplified,𭣇
攩,Semantic,擋
攩,Semantic,𫽮
攩,Simplified,𫽮
攪,Semantic,搞
攪,Simplified,搅
攬,Semantic,㩜
攬,Semantic,擥
攬,Simplified,揽
攬,Spoofing,𭣄
攮,Semantic,擃
攳,Simplified,𰕁
攴,Semantic,攵
攵,Semantic,攴
收,Semantic,㧃
收,Semantic,収
攷,Semantic,考
敁,Semantic,掂
敁,SpecializedSemantic,拈
敃,Semantic,暋
效,Semantic,効
敉,Semantic,侎
敌,Traditional,敵
敍,Semantic,叙
敍,Semantic,敘
敎,Semantic,教
敏,Semantic,勄
敓,Compat,敚
敕,Semantic,勅
敕,Semantic,勑
敕,SpecializedSemantic,勅
敗,Semantic,䢙
敗,Simplified,败
敘,Semantic,叙
敘,Semantic,敍
敘,Simplified,叙
教,Semantic,敎
敚,Compat,敓
敛,Traditional,斂
敠,Semantic,敪
敦,Semantic,惇
敩,Traditional,斆
敪,Semantic,敠
数,Traditional,數
敵,Simplified,敌
敷,Semantic,尃
敷,Semantic,旉
數,Simplified,数
敺,Semantic,驅
敺,Simplified,𰕅
敿,Simplified,𰕈
斁,Semantic,𤢕
斁,Simplified,𭣧
斂,Simplified,敛
斃,Simplified,毙
斄,Simplified,𭤎
斅,Semantic,斆
斅,Simplified,𢽾
斆,Semantic,斅
斆,Semantic,鏰
斆,Simplified,敩
文,SpecializedSemantic,㒚
文,SpecializedSemantic,穩
斈,Semantic,學
斉,Semantic,齊
斋,Semantic,齋
斋,SpecializedSemantic,齊
斋,Traditional,齋
斌,Semantic,彬
斍,SpecializedSemantic,覺
斓,Traditional,斕
斕,Simplified,斓
斗,Traditional,鬥
斚,Semantic,斝
斝,Semantic,斚
斝,SpecializedSemantic,檟
斞,Semantic,㔱
斞,Semantic,庾
斤,Semantic,觔
斥,Semantic,㡿
斩,Traditional,斬
斬,Simplified,斩
断,Semantic,斷
断,Traditional,斷
斲,Semantic,㓸
斲,Semantic,斵
斳,Spoofing,𣂷
斵,Semantic,斲
斷,Semantic,断
斷,Simplified,断
斸,Simplified,𣃁
於,Semantic,于
於,Semantic,亏
於,Semantic,扵
於,Simplified,于
斾,Semantic,旆
旁,SpecializedSemantic,傍
旂,Semantic,旗
旆,Semantic,斾
旈,Semantic,旒
旉,Semantic,尃
旉,Semantic,敷
旋,Traditional,鏇
旒,Semantic,旈
旗,Semantic,旂
旘,Semantic,幟
旛,Semantic,幡
旝,Simplified,𰕭
旟,Simplified,𭤰
无,Semantic,無
无,Traditional,無
旧,Semantic,舊
旧,Traditional,舊
旪,Semantic,協
时,Semantic,時
时,Semantic,旹
时,Traditional,時
旷,Traditional,曠
旸,Traditional,暘
旹,Semantic,时
旹,Semantic,時
昂,Semantic,昻
明,Semantic,朙
昏,Semantic,昬
昒,Semantic,㫚
昙,Traditional,曇
昜,Simplified,𠃓
昝,Semantic,偺
昝,Semantic,喒
映,Semantic,暎
昧,Spoofing,昩
昩,Spoofing,昧
昪,Semantic,忭
昬,Semantic,昏
昵,Semantic,暱
昷,Semantic,𥁕
昻,Semantic,昂
昼,Traditional,晝
昽,Traditional,曨
显,Traditional,顯
晁,Semantic,朝
晁,SpecializedSemantic,朝
時,Semantic,时
時,Semantic,旹
時,Simplified,时
晅,Semantic,烜
晉,Semantic,晋
晉,Simplified,晋
晋,Semantic,晉
晋,Traditional,晉
晒,Semantic,曬
晒,Traditional,曬
晓,Traditional,曉
晔,Traditional,曄
晕,Traditional,暈
晖,Traditional,暉
晚,Compat,晩
晛,Simplified,𬀪
晝,Simplified,昼
晡,Semantic,𣇀
晣,Spoofing,䀿
晩,Compat,晚
晰,Semantic,晳
晰,SpecializedSemantic,晳
晳,Semantic,晰
晳,SpecializedSemantic,晰
暂,Traditional,暫
暅,Traditional,𣈶
暈,Simplified,晕
暉,Simplified,晖
暋,Semantic,敃
暎,Semantic,映
暐,Simplified,𬀩
暖,Semantic,煖
暖,SpecializedSemantic,娠
暖,SpecializedSemantic,煖
暘,Simplified,旸
暟,Simplified,𬀱
暠,Semantic,皜
暠,Semantic,𣉞
暢,Simplified,畅
暧,Traditional,曖
暫,Simplified,暂
暱,Semantic,昵
暴,Semantic,虣
曄,Simplified,晔
曆,Semantic,厤
曆,Semantic,歴
曆,Semantic,歷
曆,Simplified,历
曇,Simplified,昙
曉,Simplified,晓
曊,Simplified,𪰶
曏,Simplified,向
曖,Semantic,瞹
曖,Simplified,暧
曜,Semantic,燿
曜,Semantic,耀
曠,Simplified,旷
曡,Semantic,叠
曡,Semantic,疊
曥,Simplified,𣆐
曨,Simplified,昽
曬,Semantic,晒
曬,Simplified,晒
曭,Simplified,𭧋
曮,Simplified,𰖈
曲,Simplified,曲
曲,Traditional,曲
曲,Traditional,麯
曳,SpecializedSemantic,拽
更,Semantic,㪅
曶,Compat,㫚
書,Simplified,书
曼,Semantic,㬅
朁,Semantic,㬱
會,Semantic,会
會,Simplified,会
朊,Spoofing,䏓
朌,Spoofing,肦
朏,Spoofing,胐
朐,Semantic,鸜
朐,Semantic,鴝
朐,Spoofing,胊
朓,Spoofing,脁
朘,Spoofing,脧
朙,Semantic,明
望,Semantic,朢
朝,Semantic,晁
朝,SpecializedSemantic,晁
朞,Semantic,稘
期,SpecializedSemantic,逞
朢,Semantic,望
朣,Spoofing,膧
朥,Simplified,𦛨
朦,SpecializedSemantic,矇
朦,Spoofing,䑃
朧,Simplified,胧
朧,SpecializedSemantic,矓
术,Traditional,術
朱,Traditional,硃
朳,Semantic,杷
朴,Semantic,樸
朴,Traditional,樸
朵,Semantic,朶
朵,SpecializedSemantic,朶
朶,Semantic,朵
朶,SpecializedSemantic,朵
机,Semantic,機
机,Traditional,機
朿,Semantic,莿
杀,Traditional,殺
杂,Traditional,雜
权,Traditional,權
杆,Traditional,桿
杇,Semantic,圬
村,Semantic,邨
杓,SpecializedSemantic,捉
杝,Semantic,柂
杠,Semantic,槓
条,Semantic,條
条,Traditional,條
来,Semantic,來
来,Traditional,來
杧,Semantic,芒
杨,Traditional,楊
杩,Traditional,榪
杮,Spoofing,柿
杯,Semantic,盃
杰,Semantic,傑
杰,Simplified,杰
杰,Traditional,傑
杰,Traditional,杰
東,Semantic,东
東,Simplified,东
杷,Semantic,朳
杸,Semantic,殳
松,Traditional,鬆
板,Semantic,版
板,Simplified,板
板,Traditional,板
板,Traditional,闆
极,Simplified,极
极,Traditional,极
极,Traditional,極
构,Traditional,構
枏,Semantic,楠
果,Semantic,菓
枞,Traditional,樅
枢,Traditional,樞
枣,Traditional,棗
枥,Traditional,櫪
枧,Traditional,梘
枨,Traditional,棖
枪,Traditional,槍
枫,Traditional,楓
枬,Semantic,楠
枭,Traditional,梟
枱,Semantic,儓
枱,Semantic,檯
架,Semantic,榢
枺,Spoofing,㭑
枾,Semantic,柹
柁,Semantic,舵
柂,Semantic,杝
柄,Semantic,棅
柏,Semantic,栢
柏,SpecializedSemantic,孛
某,Semantic,厶
某,SpecializedSemantic,厶
柒,Semantic,七
柒,SpecializedSemantic,七
柚,Semantic,櫾
柜,Semantic,櫃
柜,Traditional,櫃
柠,Traditional,檸
查,Semantic,査
柰,Semantic,奈
柳,Semantic,栁
柳,Semantic,檉
柵,Simplified,栅
柹,Semantic,枾
査,Semantic,查
柽,Traditional,檉
柿,Spoofing,杮
栀,Traditional,梔
栁,Semantic,柳
栅,Traditional,柵
标,Semantic,檁
标,Traditional,標
栈,Traditional,棧
栉,Traditional,櫛
栊,Traditional,櫳
栋,Traditional,棟
栌,Traditional,櫨
栎,Traditional,櫟
栏,Traditional,欄
树,Traditional,樹
栒,Semantic,簨
栖,Semantic,棲
栖,Traditional,棲
栗,Traditional,慄
栛,Semantic,荔
栢,Semantic,柏
栢,SpecializedSemantic,孛
栰,Semantic,筏
样,Traditional,樣
栽,Semantic,㘽
栾,Traditional,欒
桌,Semantic,棹
桌,SpecializedSemantic,棹
桠,Traditional,椏
桡,Traditional,橈
桢,Traditional,楨
档,Traditional,檔
桤,Traditional,榿
桥,Traditional,橋
桦,Traditional,樺
桧,Traditional,檜
桨,Traditional,槳
桩,Traditional,樁
桪,Traditional,樳
桱,Simplified,𣐕
桼,Semantic,㯃
桼,Semantic,漆
桿,Simplified,杆
梁,Semantic,樑
梅,Semantic,槑
梔,Simplified,栀
梖,Simplified,𪱷
梘,Simplified,枧
梜,Simplified,𬂩
條,Semantic,条
條,Semantic,糶
條,Simplified,条
梟,Semantic,鴞
梟,Simplified,枭
梦,Semantic,夢
梦,Traditional,夢
梨,Semantic,棃
梲,Semantic,棳
梲,Simplified,棁
梲,Compat,棁
梹,Semantic,檳
梼,Traditional,檮
梾,Traditional,棶
梿,Traditional,槤
检,Traditional,檢
棁,Traditional,梲
棁,Compat,梲
棂,Traditional,欞
棃,Semantic,梨
棄,Simplified,弃
棅,Semantic,柄
棆,Simplified,𰗖
棊,Semantic,碁
棊,Semantic,棋
棋,Semantic,棊
棋,Semantic,碁
棐,Semantic,榧
棑,Semantic,篺
棕,Semantic,㯶
棕,Semantic,椶
棖,Simplified,枨
棗,Simplified,枣
棟,Simplified,栋
棡,Simplified,㭎
棥,Semantic,樊
棧,Simplified,栈
棰,Semantic,槌
棱,Semantic,稜
棱,Semantic,楞
棲,Semantic,栖
棲,Simplified,栖
棳,Semantic,梲
棶,Simplified,梾
棹,Semantic,桌
棹,Semantic,櫂
棹,SpecializedSemantic,卓
椀,Semantic,盌
椀,Semantic,碗
椁,Semantic,槨
椁,Traditional,槨
椎,Semantic,槌
椏,Simplified,桠
椚,Simplified,𭩛
椝,Traditional,槼
椟,Traditional,櫝
椠,Traditional,槧
椢,Traditional,槶
椤,Traditional,欏
椫,Traditional,樿
椭,Traditional,橢
椮,Traditional,槮
椰,Semantic,㭨
椲,Simplified,㭏
椶,Semantic,棕
椹,Semantic,葚
楂,Semantic,揸
楂,Semantic,槎
楇,Simplified,𣒌
楊,Simplified,杨
楎,Simplified,𰗢
楓,Simplified,枫
楞,Semantic,棱
楞,Semantic,稜
楠,Semantic,枏
楠,Semantic,枬
楥,Semantic,楦
楦,Semantic,楥
楨,Simplified,桢
楫,Semantic,艥
楫,Semantic,檝
業,Simplified,业
極,Simplified,极
楼,Traditional,樓
概,Semantic,槩
榄,Traditional,欖
榅,Traditional,榲
榇,Traditional,櫬
榈,Traditional,櫚
榉,Traditional,櫸
