z1,r,z2
㬹,Semantic,踭
㬺,Spoofing,幐
㬻,Spoofing,䐠
㬿,Spoofing,𫜶
㭎,Traditional,棡
㭏,Traditional,椲
㭑,Spoofing,枺
㭒,Semantic,耜
㭣,Traditional,𣙎
㭤,Traditional,樢
㭨,Semantic,椰
㭴,Traditional,樫
㮓,Simplified,𣕲
㮝,Simplified,𣒗
㮠,Traditional,𣞁
㮣,Semantic,槩
㮣,Semantic,槪
㮣,Compat,槩
㮲,Simplified,𰗙
㯂,Simplified,𰘀
㯃,Semantic,漆
㯃,Semantic,桼
㯆,Simplified,𰗡
㯤,Simplified,𣘐
㯭,Semantic,樐
㯭,Semantic,櫓
㯶,Semantic,棕
㯸,Simplified,𰗦
㯼,Simplified,𣙥
㯽,Semantic,檳
㰂,Simplified,𰗵
㰅,Simplified,𭫙
㰍,Semantic,櫳
㰍,Simplified,𬺜
㰰,Simplified,𬅢
㰳,Simplified,𭭈
㱩,Traditional,殰
㱮,Traditional,殨
㱿,Semantic,殼
㱿,Semantic,壳
㲒,Semantic,勽
㲓,Semantic,毧
㲯,Simplified,𰚪
㲰,Simplified,𰚔
㲲,Simplified,𬇇
㲿,Traditional,瀇
㳄,Semantic,涎
㳔,Traditional,濧
㳕,Traditional,灡
㳠,Traditional,澾
㳡,Traditional,濄
㳢,Traditional,𣾷
㳽,Traditional,瀰
㴋,Traditional,潚
㴑,Semantic,溯
㴑,SpecializedSemantic,溯
㴔,Semantic,潝
㴸,Simplified,𰛛
㴿,Simplified,𰛽
㵍,Simplified,𬇰
㵑,Simplified,𰜢
㵒,Semantic,沸
㵒,Simplified,𬈕
㵗,Simplified,𣳆
㵤,Simplified,𬉇
㵾,Simplified,𪷍
㶆,Simplified,𫞛
㶉,Traditional,鸂
㶌,Simplified,𣾍
㶍,Simplified,𰝟
㶏,Simplified,𰝋
㶒,Simplified,𰛩
㶕,Simplified,𰝗
㶶,Traditional,燶
㶽,Traditional,煱
㷃,Simplified,𰝾
㷉,Semantic,熨
㷉,SpecializedSemantic,熨
㷍,Simplified,𤆢
㷠,Semantic,燐
㷠,Semantic,粦
㷪,Traditional,𤎱
㷲,Simplified,𰞉
㷶,Simplified,𰞲
㷻,Semantic,煳
㷻,Simplified,𭴊
㷿,Simplified,𤈷
㸅,Simplified,𰞍
㸊,Simplified,𬋍
㸐,Simplified,𬊾
㹓,Simplified,𰠴
㹽,Simplified,𫞣
㺍,Traditional,獱
㺏,Simplified,𤠋
㺑,Simplified,𬌷
㺜,Simplified,𪺻
㻅,Traditional,璯
㻏,Traditional,𤫩
㻘,Traditional,𤪺
㻪,Traditional,㻽
㻶,Simplified,𪼋
㻽,Simplified,㻪
㼆,Simplified,𬎆
㼈,Simplified,𭹜
㼻,Simplified,𬎧
㽣,Semantic,域
㽽,Semantic,痼
㾙,Semantic,脪
㾡,Traditional,𤷽
㾵,Simplified,𬏟
㾺,Simplified,𬏜
㿉,Simplified,𰣶
㿎,Simplified,𬏷
㿖,Simplified,𪽮
㿗,Simplified,𤻊
㿟,Semantic,皦
㿟,Semantic,皎
㿧,Simplified,𤽯
㿷,Semantic,糙
㿹,Simplified,𰤨
䀉,Simplified,𥁢
䀋,Semantic,鹽
䀍,Simplified,𰥊
䀠,Semantic,瞿
䀢,Semantic,瞬
䀥,Traditional,䁻
䀴,Simplified,𬑏
䀹,Semantic,睫
䀹,Simplified,𥅴
䀹,Spoofing,鿃
䀿,Spoofing,晣
䁖,Traditional,瞜
䁝,Simplified,𰥞
䁪,Simplified,𥇢
䁱,Simplified,𬑒
䁻,Simplified,䀥
䂀,Semantic,𥋟
䂎,Simplified,𥎝
䂓,Simplified,𰦔
䂫,Semantic,夯
䂵,Traditional,碽
䃁,Simplified,𰦴
䃅,Traditional,磾
䃉,Semantic,珉
䃕,Simplified,𰦷
䃘,Semantic,硜
䃘,Simplified,𬒎
䃢,Simplified,𰧎
䃣,Simplified,𰦨
䃤,Simplified,𬒕
䃮,Simplified,鿎
䃴,Simplified,𰧘
䄃,Semantic,殃
䄍,Semantic,蜡
䄍,SpecializedSemantic,蜡
䄯,Semantic,𢆞
䄺,Semantic,稊
䅉,Traditional,稏
䅐,Simplified,𫀨
䅘,Simplified,𥟂
䅟,Traditional,穇
䅪,Traditional,𥢢
䅳,Simplified,𫀬
䆅,Simplified,𰨳
䆉,Simplified,𫁂
䆋,Semantic,秋
䆋,Spoofing,龝
䆔,Semantic,竉
䆫,Semantic,窓
䆫,Semantic,窗
䇓,Simplified,𰩧
䇚,Traditional,𥵜
䇲,Traditional,筴
䈇,Semantic,罩
䉍,Simplified,𬕊
䉐,Simplified,𬕛
䉑,Simplified,𫁲
䉙,Simplified,𥬀
䉤,Traditional,籔
䉬,Simplified,𫂈
䉱,Simplified,𬕦
䉲,Simplified,𥮜
䉵,Semantic,饌
䉵,Semantic,籑
䉶,Simplified,𫁷
䊜,Semantic,糰
䊜,Simplified,𰪫
䊟,Simplified,𰫋
䊭,Simplified,𥺅
䊲,Simplified,𬡻
䊵,Simplified,𮉠
䊷,Simplified,䌶
䊺,Simplified,𫄚
䋃,Simplified,𫄜
䋆,Simplified,𰬁
䋍,Simplified,𰬂
䋎,Simplified,𬘜
䋏,Simplified,𮉣
䋐,Simplified,𬘙
䋑,Simplified,𰬃
䋔,Simplified,𫄞
䋙,Simplified,䌺
䋚,Simplified,䌻
䋦,Simplified,𫄩
䋫,Simplified,𰬑
䋲,Semantic,繩
䋹,Simplified,䌿
䋺,Simplified,𬘴
䋻,Simplified,䌾
䋼,Simplified,𫄮
䋽,Simplified,𰬭
䋾,Simplified,𬘲
䋿,Simplified,𦈓
䌁,Simplified,𬘱
䌇,Simplified,𰬱
䌈,Simplified,𦈖
䌋,Simplified,𦈘
䌌,Simplified,𰬶
䌐,Simplified,𬘮
䌖,Simplified,𦈜
䌝,Simplified,𦈟
䌞,Simplified,𬘪
䌟,Simplified,𦈞
䌥,Semantic,縯
䌥,Simplified,𦈠
䌪,Simplified,𬙁
䌫,Semantic,纜
䌰,Simplified,𦈙
䌶,Traditional,䊷
䌷,Traditional,紬
䌸,Traditional,縳
䌹,Traditional,絅
䌺,Traditional,䋙
䌻,Traditional,䋚
䌼,Traditional,綐
䌽,Traditional,綵
䌾,Traditional,䋻
䌿,Traditional,䋹
䍀,Traditional,繿
䍁,Traditional,繸
䍤,Simplified,𫅅
䍷,Simplified,𬙭
䍽,Simplified,𦍠
䎘,Simplified,𬚄
䎙,Simplified,𫅭
䎛,Compat,㖈
䎬,Traditional,䎱
䎱,Simplified,䎬
䏊,Simplified,𰭹
䏓,Spoofing,朊
䏕,Semantic,飪
䏝,Traditional,膞
䐠,Spoofing,㬻
䐢,Simplified,𰮙
䐣,Simplified,𬁽
䐪,Traditional,臇
䐰,Semantic,饈
䐷,Simplified,𬂅
䐹,Simplified,𰮲
䐽,Simplified,𰯎
䑃,Spoofing,朦
䑗,Simplified,𬛹
䑼,Simplified,𰰌
䒒,Semantic,苕
䓓,Traditional,薵
䓕,Traditional,薳
䓖,Traditional,藭
䓣,Simplified,𬜯
䔇,Simplified,𰰴
䔈,Simplified,𰱀
䔛,Semantic,檾
䔡,Simplified,𬝁
䕌,Semantic,稚
䕡,Simplified,𰱩
䕤,Simplified,𫟕
䕳,Simplified,𦰴
䕹,Simplified,𰰶
䕼,Simplified,𬝴
䖀,Simplified,𰲖
䖅,Simplified,𫟑
䖈,Semantic,虐
䖍,Semantic,虔
䖏,Semantic,処
䖏,Semantic,處
䖏,SpecializedSemantic,處
䖚,Simplified,𰲟
䖟,Semantic,蝱
䖣,Semantic,蚤
䖵,Semantic,蜫
䖼,Traditional,𧍕
䗃,Simplified,𰲳
䗅,Simplified,𫊪
䗖,Traditional,螮
䗥,Simplified,𰲯
䗻,Simplified,𮔂
䗽,Simplified,𰳚
䗿,Simplified,𧉞
䘑,Semantic,脉
䘚,Semantic,卒
䘛,Traditional,𧝞
䘞,Traditional,𧜗
䘠,Spoofing,袚
䘺,Semantic,綻
䙊,Traditional,𧜵
䙌,Traditional,䙡
䙓,Traditional,襬
䙔,Simplified,𫋲
䙝,Semantic,褻
䙝,Semantic,褺
䙡,Simplified,䙌
䙱,Simplified,𧜭
䙼,Simplified,𰴖
䚆,Simplified,𬢑
䚉,Simplified,𬢐
䚎,Semantic,𥅾
䚕,Simplified,𰴗
䚞,Simplified,𰴤
䚩,Simplified,𫌯
䚳,Simplified,𬣛
䚵,Simplified,𬣟
䚶,Spoofing,訞
䚽,Simplified,𬣜
䛀,Simplified,𰵐
䛄,Simplified,𫍠
䛌,Simplified,𰵜
䛍,Simplified,𬣧
䛓,Traditional,譼
䛘,Simplified,𬣯
䛛,Simplified,𬣬
䛞,Simplified,𬣸
䛠,Simplified,𰵫
䛡,Semantic,話
䛤,Simplified,𬣹
䛬,Simplified,𬤁
䛭,Simplified,𰵰
䛳,Simplified,𫍫
䛻,Semantic,誘
䛼,Semantic,譭
䛽,Simplified,𬤌
䛿,Simplified,𬤑
䜀,Simplified,䜧
䜄,Simplified,𰶈
䜉,Simplified,𬤘
䜊,Semantic,嘈
䜋,Simplified,𬤉
䜍,Simplified,𬤟
䜎,Simplified,𬣿
䜏,Simplified,𰶇
䜒,Simplified,𬤡
䜖,Simplified,𫟢
䜚,Simplified,𬤪
䜝,Simplified,𬤬
䜣,Traditional,訢
䜤,Traditional,鿁
䜥,Traditional,𧩙
䜧,Traditional,䜀
䜩,Traditional,讌
䜶,Semantic,豇
䝋,Semantic,豵
䝏,Simplified,𰶬
䝕,Simplified,𬥄
䝙,Traditional,貙
䝜,Semantic,狻
䝤,Semantic,獠
䝭,Simplified,𫎧
䝯,Simplified,𬥵
䝻,Simplified,𧹕
䝼,Simplified,䞍
䞀,Simplified,𬥽
䞁,Simplified,𬥺
䞂,Simplified,𬥻
䞈,Simplified,𧹑
䞉,Simplified,𰷩
䞋,Simplified,𫎪
䞌,Traditional,𧵳
䞍,Traditional,䝼
䞎,Traditional,𧶧
䞐,Traditional,賰
䞓,Semantic,赬
䞓,Simplified,𫎭
䞶,Simplified,𬦅
䟃,Simplified,𫎺
䟆,Simplified,𫎳
䟏,Simplified,𰷴
䟐,Simplified,𫎱
䟢,Traditional,躎
䟺,Simplified,𬦥
䠆,Simplified,𫏃
䠟,Simplified,𰸈
䠠,Simplified,𰸛
䠩,Simplified,𰸊
䠮,Simplified,𬧃
䠱,Semantic,躅
䠱,Simplified,𨅛
䡁,Simplified,𬧢
䡅,Simplified,𰹳
䡇,Simplified,𰹷
䡊,Simplified,𰹺
䡐,Simplified,𫟤
䡗,Simplified,𬨆
䡘,Simplified,𬨉
䡝,Simplified,𰺑
䡟,Simplified,𬨌
䡦,Simplified,𬨑
䡩,Simplified,𫟥
䡰,Simplified,𰺘
䡴,Simplified,𰺝
䡵,Simplified,𫟦
䡶,Simplified,𬨔
䡷,Simplified,𰺡
䡻,Simplified,𰺤
䡾,Simplified,𰺠
䢀,Traditional,𨊰
䢁,Traditional,𨊸
䢂,Traditional,𨋢
䢈,Simplified,𰺭
䢙,Semantic,敗
䢨,Simplified,𨑹
䢴,Spoofing,邗
䣩,Semantic,醇
䤌,Simplified,𮠞
䤍,Semantic,𨢥
䤍,Simplified,𰼑
䤠,Simplified,𰽠
